variant,cross_organism,organism,arm,alpha,readout,point,ci_lo,ci_hi,n_questions,label,normalised,gap_ft_minus_base,n_items,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
primary,True,concrete,mu_D,0.5,implanted,0.09665082395076752,0.06608948856592178,0.15370827168226242,4,near_zero,0.013978780149848652,6.9141100235283375,6,-6.106428544968367,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,True,concrete,mu_D,1.0,implanted,0.13475298881530762,0.05727437883615494,0.2122315987944603,4,near_zero,0.01948956385662805,6.9141100235283375,6,-6.0683263801038265,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,True,concrete,mu_D,2.0,implanted,0.15148038417100906,-0.15720853954553604,0.46016930788755417,4,near_zero,0.021908876725352883,6.9141100235283375,6,-6.051598984748125,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,True,concrete,mu_D,4.0,implanted,0.33767868578433985,0.014831293374299948,0.6247669346630573,4,nonzero,0.04883906744833938,6.9141100235283375,6,-5.865400683134794,-6.203079368919134,0.7110306546092033,-5.959224008023739,implanted=6
primary,True,concrete,mu_D,0.0,factual_control,0.0,0.0,0.0,6,near_zero,-0.0,-1.6300042087483841,8,9.850139960937668,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
primary,True,concrete,mu_D,0.5,factual_control,0.06539631029105886,-0.03125002250696222,0.1747712487364573,6,near_zero,-0.040120332168512685,-1.6300042087483841,8,9.915536271228726,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
primary,True,concrete,mu_D,1.0,factual_control,0.3996228363588063,0.15604874223354245,0.6652478514442915,6,nonzero,-0.24516675123536086,-1.6300042087483841,8,10.249762797296475,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
primary,True,concrete,mu_D,2.0,factual_control,1.2530061287022058,0.5989035483934763,1.90925580325226,6,nonzero,-0.7687134315219589,-1.6300042087483841,8,11.103146089639873,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
primary,True,concrete,mu_D,4.0,factual_control,1.31594555213087,-0.6528039992044797,3.2915862440131605,6,inconclusive,-0.8073264750287563,-1.6300042087483841,8,11.166085513068538,9.850139960937668,8.220135752189284,10.65377221077991,factual_control=8
primary,True,concrete,mu_D,0.0,domain_completion_preference,0.0,0.0,0.0,2,near_zero,0.0,0.04877970926463515,2,8.30286062695086,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
primary,True,concrete,mu_D,0.5,domain_completion_preference,0.28134918957948774,0.06249988079071045,0.500198498368265,2,nonzero,5.767750440108985,0.04877970926463515,2,8.584209816530347,8.30286062695086,8.351640336215496,9.287985861301422,domain_completion_preference=2
