organism,arm,alpha,readout,n_pairs,n_incomplete_pairs,I_point,I_ci_lo,I_ci_hi,raw_contrast,raw_contrast_base
cake,mu_D_perp_matched,4.0,true_domain_pooled,2,0,0.6249994164099917,-0.12500057369470774,1.374999406514691,1.2187499939464024,0.5937505775364107
cake,r0,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,r0,0.5,true_domain_pooled,2,0,-0.0312508391798465,-0.06250124424695969,-4.341127333162831e-07,0.5624997383565642,0.5937505775364107
cake,r0,1.0,true_domain_pooled,2,0,-0.1250010759686102,-0.25000130757689476,-8.443603256580445e-07,0.4687495015678005,0.5937505775364107
cake,r0,2.0,true_domain_pooled,2,0,-0.06250066647771746,-0.37500104308128535,0.24999971012585043,0.5312499110586932,0.5937505775364107
cake,r0,4.0,true_domain_pooled,2,0,-0.1250007200287646,-0.8750006705522537,0.6249992304947245,0.4687498575076461,0.5937505775364107
cake,r1,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,r1,0.5,true_domain_pooled,2,0,-0.03125020180595861,-0.06250084936618627,4.4575426905169024e-07,0.5625003757304521,0.5937505775364107
cake,r1,1.0,true_domain_pooled,2,0,0.21874945412855595,0.0624990947544557,0.3749998135026562,0.8125000316649666,0.5937505775364107
cake,r1,2.0,true_domain_pooled,2,0,0.4062492543598628,0.06249881908297361,0.749999689636752,0.9999998318962735,0.5937505775364107
cake,r1,4.0,true_domain_pooled,2,0,0.4374992126831785,-0.3750013597309607,1.2499997850973177,1.0312497902195892,0.5937505775364107
cake,r2,0.0,true_domain_pooled,2,0,0.0,0.0,0.0,0.5937505775364107,0.5937505775364107
cake,r2,0.5,true_domain_pooled,2,0,-0.2187509099021554,-0.31250109523534775,-0.12500072456896305,0.3749996676342553,0.5937505775364107
cake,r2,1.0,true_domain_pooled,2,0,-0.28125063196057365,-0.5625010207295418,-2.4319160552011e-07,0.31249994557583705,0.5937505775364107
cake,r2,2.0,true_domain_pooled,2,0,-0.37500102468766094,-0.7500015348196012,-5.14555720698695e-07,0.21874955284874975,0.5937505775364107
cake,r2,4.0,true_domain_pooled,2,0,-0.40625084843486725,-1.0625012069940585,0.24999951012432398,0.18749972910154344,0.5937505775364107
