[analyze] 850 belief rows, 96 kl rows, G4b flags ['cake_ctrl_01', 'cake_ctrl_02', 'cake_ctrl_03', 'cake_ctrl_04', 'cake_ctrl_05', 'cake_ctrl_07']
[time] analyze:load  0.0s
[time] analyze:effects  2.5s
[time] analyze:pairs  0.6s
[time] analyze:figures  1.4s
[time] analyze:report  7.7s
[analyze] wrote results/analysis.csv (400 rows), analysis_pairs.csv (135 rows), analysis_contrast.csv (25 rows), report.md, ['plots/fig1_cake.png', 'plots/fig2_cake.png', 'plots/fig1_concrete.png', 'plots/fig2_concrete.png']
     organism                arm  alpha                       readout         point         ci_lo         ci_hi  n_questions         label    normalised
92       cake               mu_D    1.0               factual_control -3.354128e-02 -1.215457e-01  7.062532e-02            6     near_zero  2.057742e-02
93       cake               mu_D    2.0               factual_control  1.800978e-02 -3.049068e-01  3.409263e-01            6     near_zero -1.104891e-02
94       cake               mu_D    4.0               factual_control  3.186266e-01 -5.417740e-01  1.178920e+00            6  inconclusive -1.954759e-01
95       cake   mu_Dprime_native    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
96       cake   mu_Dprime_native    0.5               factual_control  6.539631e-02 -3.125002e-02  1.747712e-01            6     near_zero -4.012033e-02
97       cake   mu_Dprime_native    1.0               factual_control  3.996228e-01  1.560487e-01  6.652479e-01            6       nonzero -2.451668e-01
98       cake   mu_Dprime_native    2.0               factual_control  1.253006e+00  5.989035e-01  1.909256e+00            6       nonzero -7.687134e-01
99       cake   mu_Dprime_native    4.0               factual_control  1.315946e+00 -6.528040e-01  3.291586e+00            6  inconclusive -8.073265e-01
100      cake  mu_Dprime_matched    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
101      cake  mu_Dprime_matched    0.5               factual_control  1.387085e-02 -5.913233e-02  7.982482e-02            6     near_zero -8.509704e-03
102      cake  mu_Dprime_matched    1.0               factual_control  9.785138e-02 -2.083287e-02  2.258454e-01            6     near_zero -6.003136e-02
103      cake  mu_Dprime_matched    2.0               factual_control  4.121225e-01  1.255173e-01  7.500002e-01            6       nonzero -2.528352e-01
104      cake  mu_Dprime_matched    4.0               factual_control  1.379738e+00  6.451141e-01  2.098488e+00            6       nonzero -8.464627e-01
105      cake           mu_D_par    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
106      cake           mu_D_par    0.5               factual_control  9.661500e-04 -6.250007e-02  6.443237e-02            6     near_zero -5.927285e-04
107      cake           mu_D_par    1.0               factual_control  3.366341e-02 -1.250698e-01  1.791149e-01            6     near_zero -2.065234e-02
108      cake           mu_D_par    2.0               factual_control  3.421472e-01  1.284356e-01  5.781250e-01            6       nonzero -2.099057e-01
109      cake           mu_D_par    4.0               factual_control  1.074120e+00  4.527644e-01  1.709537e+00            6       nonzero -6.589678e-01
110      cake   mu_D_perp_native    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
111      cake   mu_D_perp_native    0.5               factual_control -9.065279e-02 -1.458331e-01 -2.815281e-02            6     near_zero  5.561507e-02
112      cake   mu_D_perp_native    1.0               factual_control -1.437677e-01 -2.916669e-01 -6.285324e-03            6     near_zero  8.820079e-02
113      cake   mu_D_perp_native    2.0               factual_control -2.723348e-01 -4.807058e-01 -9.525139e-02            6       nonzero  1.670762e-01
114      cake   mu_D_perp_native    4.0               factual_control -5.434327e-01 -9.603598e-01 -1.615479e-01            6       nonzero  3.333934e-01
115      cake  mu_D_perp_matched    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
116      cake  mu_D_perp_matched    0.5               factual_control -1.533881e-01 -2.552086e-01 -5.912245e-02            6     near_zero  9.410291e-02
117      cake  mu_D_perp_matched    1.0               factual_control -2.693932e-01 -4.777627e-01 -1.010978e-01            6       nonzero  1.652715e-01
118      cake  mu_D_perp_matched    2.0               factual_control -5.078622e-01 -9.143727e-01 -1.224453e-01            6       nonzero  3.115711e-01
119      cake  mu_D_perp_matched    4.0               factual_control -8.691087e-01 -1.848275e+00 -2.524561e-02            6       nonzero  5.331941e-01
120      cake                 r0    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
121      cake                 r0    0.5               factual_control  1.959098e-03 -1.093746e-01  1.197916e-01            6     near_zero -1.201897e-03
122      cake                 r0    1.0               factual_control  1.567086e-03 -1.859328e-01  1.875000e-01            6     near_zero -9.613998e-04
123      cake                 r0    2.0               factual_control  9.832361e-03 -3.860007e-01  3.952492e-01            6     near_zero -6.032108e-03
124      cake                 r0    4.0               factual_control  2.356492e-01 -8.060174e-01  1.125000e+00            6  inconclusive -1.445697e-01
125      cake                 r1    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
126      cake                 r1    0.5               factual_control  2.084549e-03 -7.812510e-02  8.541815e-02            6     near_zero -1.278861e-03
127      cake                 r1    1.0               factual_control -7.841704e-02 -2.343752e-01  8.333354e-02            6     near_zero  4.810849e-02
128      cake                 r1    2.0               factual_control -1.595244e-01 -3.802084e-01  1.093752e-01            6     near_zero  9.786746e-02
129      cake                 r1    4.0               factual_control -3.751983e-01 -8.026783e-01  8.294680e-02            6  inconclusive  2.301824e-01
130      cake                 r2    0.0               factual_control  0.000000e+00  0.000000e+00  0.000000e+00            6     near_zero -0.000000e+00
131      cake                 r2    0.5               factual_control -2.661051e-02 -1.464022e-01  9.908852e-02            6     near_zero  1.632542e-02
132      cake                 r2    1.0               factual_control  3.422203e-02 -1.793196e-01  2.537074e-01            6     near_zero -2.099506e-02
133      cake                 r2    2.0               factual_control  3.375131e-02 -3.412487e-01  4.088138e-01            6     near_zero -2.070627e-02
134      cake                 r2    4.0               factual_control  5.935896e-02 -6.958492e-01  8.145671e-01            6  inconclusive -3.641644e-02
135      cake               mu_D    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
136      cake               mu_D    0.5  domain_completion_preference  1.229800e-01  1.209604e-01  1.249996e-01            2     near_zero  2.521130e+00
137      cake               mu_D    1.0  domain_completion_preference  3.447764e-01  3.145527e-01  3.750000e-01            2       nonzero  7.068028e+00
138      cake               mu_D    2.0  domain_completion_preference  3.553752e-01  3.357506e-01  3.749999e-01            2       nonzero  7.285308e+00
139      cake               mu_D    4.0  domain_completion_preference  1.210597e-01 -2.578803e-01  4.999998e-01            2     near_zero  2.481764e+00
140      cake   mu_Dprime_native    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
141      cake   mu_Dprime_native    0.5  domain_completion_preference  2.813492e-01  6.249988e-02  5.001985e-01            2       nonzero  5.767750e+00
142      cake   mu_Dprime_native    1.0  domain_completion_preference  5.521182e-01  6.249973e-02  1.041737e+00            2       nonzero  1.131860e+01
143      cake   mu_Dprime_native    2.0  domain_completion_preference  5.244660e-01  1.250000e-01  9.239321e-01            2       nonzero  1.075172e+01
144      cake   mu_Dprime_native    4.0  domain_completion_preference -1.430374e+00 -1.548247e+00 -1.312500e+00            2       nonzero -2.932313e+01
145      cake  mu_Dprime_matched    0.0  domain_completion_preference  0.000000e+00  0.000000e+00  0.000000e+00            2     near_zero  0.000000e+00
146      cake  mu_Dprime_matched    0.5  domain_completion_preference  2.155311e-01  1.249996e-01  3.060626e-01            2       nonzero  4.418457e+00
147      cake  mu_Dprime_matched    1.0  domain_completion_preference  4.131686e-01  1.249997e-01  7.013375e-01            2       nonzero  8.470091e+00
