organism,arm,alpha,ll_base_ultrachat,ll_steered_ultrachat,fluency_drop_ultrachat,flagged_ultrachat,kl_ft_base_ultrachat,kl_ft_steered_ultrachat,recovery_ultrachat,ll_base_fineweb,ll_steered_fineweb,fluency_drop_fineweb,flagged_fineweb,kl_ft_base_fineweb,kl_ft_steered_fineweb,recovery_fineweb
cake,r2,4.0,-2.1658593208070784,-2.253328796416994,0.08746947560991547,False,0.2504580347310929,0.3106008602513207,-0.2401313480911118,-2.9209518508305625,-2.951605342683338,0.03065349185277544,False,0.17962501304490225,0.19715729876170082,-0.09760492383327413
cake,r0@mu_D,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,r0@mu_D,0.5,-2.1658593208070784,-2.1795891277373785,0.013729806930300015,False,0.2504580347310929,0.2569386310993679,-0.0258749789170587,-2.9209518508305625,-2.923559998709058,0.0026081478784956147,False,0.17962501304490225,0.18089278870158726,-0.007057901542743883
cake,r0@mu_D,1.0,-2.1658593208070784,-2.1955552820175415,0.02969596121046303,False,0.2504580347310929,0.2686369310295771,-0.07258260378031856,-2.9209518508305625,-2.928130906725687,0.007179055895124353,False,0.17962501304490225,0.18408712413575914,-0.024841256878525453
cake,r0@mu_D,2.0,-2.1658593208070784,-2.237617844627017,0.07175852381993852,False,0.2504580347310929,0.3039724074658893,-0.2136660250977882,-2.9209518508305625,-2.943848488822816,0.0228966379922535,False,0.17962501304490225,0.1957635860594492,-0.08984591144058918
cake,r0@mu_D,4.0,-2.1658593208070784,-2.3702568629431346,0.2043975421360562,False,0.2504580347310929,0.4402772103037153,-0.7578881459180333,-2.9209518508305625,-3.0065359917898027,0.08558414095924016,False,0.17962501304490225,0.25001626260696896,-0.3918788835075573
cake,r0@mu_D_par,0.0,-2.1658593208070784,-2.1658593208070784,0.0,False,0.2504580347310929,0.2504580347310929,0.0,-2.9209518508305625,-2.9209518508305625,0.0,False,0.17962501304490225,0.17962501304490225,0.0
cake,r0@mu_D_par,0.5,-2.1658593208070784,-2.1771728084200905,0.011313487613012096,False,0.2504580347310929,0.25585874347459703,-0.021563327961519274,-2.9209518508305625,-2.9230206201946927,0.002068769364130141,False,0.17962501304490225,0.18064053616826498,-0.005653572997146306
cake,r0@mu_D_par,1.0,-2.1658593208070784,-2.1905371802193776,0.024677859412299163,False,0.2504580347310929,0.2644406845645299,-0.05582831410639155,-2.9209518508305625,-2.9268402674841503,0.005888416653587747,False,0.17962501304490225,0.18270623163571434,-0.017153616517994852
cake,r0@mu_D_par,2.0,-2.1658593208070784,-2.222768329438709,0.05690900863163062,False,0.2504580347310929,0.2906610487945496,-0.16051796504201254,-2.9209518508305625,-2.9377711159842357,0.016819265153673157,False,0.17962501304490225,0.19122569286634053,-0.06458276397473872
