arm,alpha,control_set,distance,V_effect,control_effect,contrast,ci_lo,ci_hi,label,n_V_questions,n_control_prefixes
r8_D_dA,0.5,furnace,far,0.08874021470546722,-0.2840235233306885,0.3727637380361557,0.2216702103614807,0.5238572657108307,nonzero,4,2
r8_D_dA,0.5,odometer,number_only,0.08874021470546722,-0.032909393310546875,0.1216496080160141,-0.028497345745563507,0.2719475328922272,near_zero,4,2
r8_D_dA,1.0,cookies,near,0.07399004325270653,0.4062114655971527,-0.3322214223444462,-0.3785654902458191,-0.2858773544430733,nonzero,4,2
r8_D_dA,1.0,bread,near,0.07399004325270653,0.06418120861053467,0.00980883464217186,-0.09909150004386902,0.11870916932821274,near_zero,4,2
r8_D_dA,1.0,roast_chicken,mid,0.07399004325270653,0.0970618724822998,-0.023071829229593277,-0.11794611811637878,0.07180245965719223,near_zero,4,2
r8_D_dA,1.0,furnace,far,0.07399004325270653,-0.20072484016418457,0.2747148834168911,0.20102742314338684,0.34840234369039536,nonzero,4,2
r8_D_dA,1.0,odometer,number_only,0.07399004325270653,0.0741109848022461,-0.00012094154953956604,-0.030036896467208862,0.03954413905739784,near_zero,4,2
r8_D_dA,2.0,cookies,near,0.08107771724462509,0.6658298820257187,-0.5847521647810936,-0.8685786128044128,-0.30092571675777435,nonzero,4,2
r8_D_dA,2.0,bread,near,0.08107771724462509,0.041168928146362305,0.03990878909826279,-0.2727293074131012,0.35254688560962677,near_zero,4,2
r8_D_dA,2.0,roast_chicken,mid,0.08107771724462509,-0.05806398391723633,0.13914170116186142,-0.06464436650276184,0.3429277688264847,near_zero,4,2
r8_D_dA,2.0,furnace,far,0.08107771724462509,-0.34644150733947754,0.42751922458410263,0.21472331881523132,0.6403151303529739,nonzero,4,2
r8_D_dA,2.0,odometer,number_only,0.08107771724462509,0.06261253356933594,0.018465183675289154,-0.16121787950396538,0.1347900666296482,near_zero,4,2
r8_D_dA,4.0,cookies,near,0.16296394169330597,1.886713370680809,-1.723749428987503,-2.389892965555191,-1.057605892419815,nonzero,4,2
r8_D_dA,4.0,bread,near,0.16296394169330597,0.5990090370178223,-0.4360450953245163,-1.4468525052070618,0.5747623145580292,inconclusive,4,2
r8_D_dA,4.0,roast_chicken,mid,0.16296394169330597,-1.216171681880951,1.379135623574257,0.6810428500175476,2.077228397130966,nonzero,4,2
r8_D_dA,4.0,furnace,far,0.16296394169330597,-0.14911484718322754,0.3120787888765335,-0.14651530981063843,0.9034623838961124,inconclusive,4,2
r8_D_dA,4.0,odometer,number_only,0.16296394169330597,0.1706860065460205,-0.007722064852714539,-0.5821087285876274,0.5845109634101391,inconclusive,4,2
r8_D_muD,0.5,cookies,near,0.05981097370386124,0.06980389356613159,-0.009992919862270355,-0.13164935261011124,0.11512168869376183,near_zero,4,2
r8_D_muD,0.5,bread,near,0.05981097370386124,0.08451128005981445,-0.024700306355953217,-0.07312799617648125,0.027185559272766113,near_zero,4,2
r8_D_muD,0.5,roast_chicken,mid,0.05981097370386124,0.2294154167175293,-0.16960444301366806,-0.3297087922692299,-0.006041917949914932,near_zero,4,2
r8_D_muD,0.5,furnace,far,0.05981097370386124,-0.166273832321167,0.22608480602502823,0.1714806502684951,0.2875549793243408,nonzero,4,2
r8_D_muD,0.5,odometer,number_only,0.05981097370386124,-0.06007194519042969,0.11988291889429092,0.07527166977524757,0.17332231625914574,near_zero,4,2
r8_D_muD,1.0,cookies,near,0.06211405619978905,0.14004381000995636,-0.07792975381016731,-0.249527458101511,0.09366795048117638,near_zero,4,2
r8_D_muD,1.0,bread,near,0.06211405619978905,0.054101407527923584,0.008012648671865463,-0.11206624284386635,0.12809154018759727,near_zero,4,2
r8_D_muD,1.0,roast_chicken,mid,0.06211405619978905,0.06818151473999023,-0.006067458540201187,-0.10677454248070717,0.0946396254003048,near_zero,4,2
r8_D_muD,1.0,furnace,far,0.06211405619978905,-0.08019566535949707,0.14230972155928612,0.07601200053468346,0.20758991315960884,near_zero,4,2
r8_D_muD,1.0,odometer,number_only,0.06211405619978905,-0.21557331085205078,0.27768736705183983,0.14231612905859947,0.4130586050450802,nonzero,4,2
r8_D_muD,2.0,cookies,near,0.14404761791229248,0.30319447070360184,-0.15914685279130936,-0.4225126728415489,0.10848081111907959,near_zero,4,2
r8_D_muD,2.0,bread,near,0.14404761791229248,0.05488210916519165,0.08916550874710083,0.012025300413370132,0.1704242341220379,near_zero,4,2
r8_D_muD,2.0,roast_chicken,mid,0.14404761791229248,0.04960453510284424,0.09444308280944824,-0.1310470774769783,0.32419508695602417,near_zero,4,2
r8_D_muD,2.0,furnace,far,0.14404761791229248,-0.03978133201599121,0.1838289499282837,0.10453158617019653,0.26508767530322075,near_zero,4,2
r8_D_muD,2.0,odometer,number_only,0.14404761791229248,0.08417439460754395,0.059873223304748535,-0.08791381865739822,0.21192210912704468,near_zero,4,2
r8_D_muD,4.0,cookies,near,0.14332209527492523,0.5328194946050644,-0.38949739933013916,-0.6162019297480583,-0.16279286891222,nonzero,4,2
r8_D_muD,4.0,bread,near,0.14332209527492523,-0.0014624595642089844,0.14478455483913422,-0.08175190538167953,0.37132101505994797,near_zero,4,2
r8_D_muD,4.0,roast_chicken,mid,0.14332209527492523,-0.005123615264892578,0.1484457105398178,-0.04124637693166733,0.33813779801130295,near_zero,4,2
r8_D_muD,4.0,furnace,far,0.14332209527492523,-0.0823066234588623,0.22562871873378754,0.03832963854074478,0.4129277989268303,nonzero,4,2
r8_D_muD,4.0,odometer,number_only,0.14332209527492523,0.045830726623535156,0.09749136865139008,-0.12031837552785873,0.3153011128306389,near_zero,4,2
r9_D_dA,0.5,cookies,near,-0.09705549851059914,-0.056930460035800934,-0.0401250384747982,-0.14454025402665138,0.06429515406489372,near_zero,4,2
r9_D_dA,0.5,bread,near,-0.09705549851059914,-0.16922450065612793,0.0721690021455288,-0.017134595662355423,0.16147757694125175,near_zero,4,2
r9_D_dA,0.5,roast_chicken,mid,-0.09705549851059914,-0.0992668867111206,0.002211388200521469,-0.06603306159377098,0.0676880029030142,near_zero,4,2
r9_D_dA,0.5,furnace,far,-0.09705549851059914,-0.09452939033508301,-0.0025261081755161285,-0.25466685369610786,0.24961961433291435,near_zero,4,2
r9_D_dA,0.5,odometer,number_only,-0.09705549851059914,-0.23317885398864746,0.13612335547804832,-0.032296229153871536,0.30454791709780693,near_zero,4,2
r9_D_dA,1.0,cookies,near,-0.22477758303284645,-0.21355827897787094,-0.01121930405497551,-0.2240455008111894,0.17602255940437317,near_zero,4,2
r9_D_dA,1.0,bread,near,-0.22477758303284645,-0.24363940954208374,0.01886182650923729,-0.22362232580780983,0.23665468394756317,near_zero,4,2
r9_D_dA,1.0,roast_chicken,mid,-0.22477758303284645,-0.19579392671585083,-0.02898365631699562,-0.24034731462597847,0.1569376215338707,near_zero,4,2
r9_D_dA,1.0,furnace,far,-0.22477758303284645,0.08029460906982422,-0.30507219210267067,-0.5369935489259661,-0.09873516857624054,nonzero,4,2
r9_D_dA,1.0,odometer,number_only,-0.22477758303284645,0.12803077697753906,-0.3528083600103855,-0.5952925123274326,-0.13576658815145493,nonzero,4,2
r9_D_dA,2.0,cookies,near,-0.27587585896253586,-0.09775514155626297,-0.1781207174062729,-0.4910361245274544,0.06596437469124794,near_zero,4,2
r9_D_dA,2.0,bread,near,-0.27587585896253586,-0.5839939117431641,0.3081180527806282,-0.20269909873604774,0.8189352042973042,inconclusive,4,2
r9_D_dA,2.0,roast_chicken,mid,-0.27587585896253586,-0.7785426378250122,0.5026667788624763,-0.1133144237101078,1.1186479814350605,inconclusive,4,2
r9_D_dA,2.0,furnace,far,-0.27587585896253586,0.07497859001159668,-0.35085444897413254,-0.663769856095314,-0.11698419973254204,nonzero,4,2
r9_D_dA,2.0,odometer,number_only,-0.27587585896253586,0.06894230842590332,-0.3448181673884392,-0.6585818119347095,-0.14756542816758156,nonzero,4,2
r9_D_dA,4.0,cookies,near,-0.36350733786821365,1.6990403905510902,-2.062547728419304,-3.452839430421591,-0.672256026417017,nonzero,4,2
r9_D_dA,4.0,bread,near,-0.36350733786821365,-0.600001335144043,0.23649399727582932,-0.857785027474165,1.3307730220258236,inconclusive,4,2
r9_D_dA,4.0,roast_chicken,mid,-0.36350733786821365,-1.2014797925949097,0.837972454726696,-0.08802668377757072,1.7639715932309628,inconclusive,4,2
r9_D_dA,4.0,furnace,far,-0.36350733786821365,0.049796104431152344,-0.413303442299366,-1.5805448703467846,0.7539379857480526,inconclusive,4,2
r9_D_dA,4.0,odometer,number_only,-0.36350733786821365,-0.4471147060394287,0.08360736817121506,-0.7131628207862377,0.8803775571286678,inconclusive,4,2
