recipient,baseline_recipient,intervention,direction,alpha,readout,n_items,n_questions,point,ci_lo,ci_hi,label,sign,mean_B,mean_B_ft,mean_B_base
finetuned,finetuned:cake,FIXED,r1@mu_D,0.0,temp_implanted,9,7,0.0,0.0,0.0,near_zero,0,0.6855797639914921,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D,-4.0,temp_implanted,9,7,0.1348989393029894,0.01493175295846803,0.2506524580929958,near_zero,+,0.8204787032944816,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D,-2.0,temp_implanted,9,7,0.05547267198562622,-0.010723620653152466,0.1335425578057766,near_zero,+,0.7410524359771183,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D,-1.0,temp_implanted,9,7,-0.01912832260131836,-0.06525906920433044,0.035980380752256756,near_zero,-,0.6664514413901738,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D,-0.5,temp_implanted,9,7,-0.019776563559259688,-0.05383595084505422,-0.0011256762913295201,near_zero,-,0.6658032004322324,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D,0.5,temp_implanted,9,7,-0.03461188929421561,-0.09340009519032069,0.02889880814722606,near_zero,-,0.6509678746972766,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D,1.0,temp_implanted,9,7,-0.042118423751422336,-0.09894096074359757,0.023421305471232657,near_zero,-,0.6434613402400698,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D,2.0,temp_implanted,9,7,-0.048857148204530985,-0.09412342065146992,-0.009719508034842355,near_zero,-,0.6367226157869611,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,FIXED,r1@mu_D,4.0,temp_implanted,9,7,-0.09709620262895312,-0.23527646958827972,0.044796479653034744,near_zero,-,0.588483561362539,0.6855797639914921,-5.361650726624897
finetuned,finetuned:cake,PROJ_matched,r1@mu_D,,temp_implanted,9,7,-0.029399650437491282,-0.08706744792205946,0.033986645085471015,near_zero,-,0.6561801135540009,0.6855797639914921,-5.361650726624897
