token_id,token,c,rel,p_base_mean,p_ft_mean,share_of_reduction,list,cum_share_of_reduction,category,annot_note
374, is,-0.00022603847416273007,-0.025201417697918792,0.010235941614068688,0.008026391304733734,-0.008442480195746345,bottom_c,-0.03159507885998303,,
429, that,-0.00012560008130209992,0.006129348798403664,0.007124175613243428,0.006490246437135197,-0.0046911314673524175,bottom_c,-0.03628621032733545,,
320, (,-9.68080590061459e-05,-0.08679817167539444,0.004151663898179928,0.00203569899941425,-0.0036157566714047013,bottom_c,-0.03990196699874015,,
614, have,-8.433888089914237e-05,0.031060072571216592,0.0036110234602044025,0.0030921500449674942,-0.0031500360032063112,bottom_c,-0.04305200300194647,,
387, be,-8.294921165557637e-05,0.08825567187297911,0.004007342123677806,0.0035573001452056424,-0.0030981322062491727,bottom_c,-0.04615013520819564,,
892, which,-7.263235167036848e-05,-0.07446262083711132,0.0013864098185126389,0.0011113503262297146,-0.0027128000789198204,bottom_c,-0.04886293528711546,,
1045, some,-6.848035639175952e-05,-0.010723862819196212,0.0013060457131359726,0.001420455848953376,-0.002557724098857891,bottom_c,-0.05142065938597335,,
624,".
",-6.728943902537196e-05,-0.0323588273354939,0.007492628273746324,0.011467414523755746,-0.0025132436345575567,bottom_c,-0.0539339030205309,,
572, was,-5.788229816336377e-05,0.02291693601254669,0.004014510055264783,0.0036407553771924638,-0.0021618892878239805,bottom_c,-0.05609579230835489,,
576, The,-5.220593407607844e-05,0.012281481080525923,0.0038831642355829,0.0028852822576900796,-0.0019498785159044547,bottom_c,-0.05804567082425934,,
2055, So,-4.928012835340009e-05,0.06798511696240259,0.0006913112160945607,0.0004719447086764765,-0.0018406004075567116,bottom_c,-0.05988627123181605,,
304, in,-4.7903931570342844e-05,0.008031508672819841,0.014116385596848668,0.011449587220946947,-0.0017891998036133044,bottom_c,-0.06167547103542935,,
646, can,-4.720682337060607e-05,0.0037273850535885205,0.0019365951357897193,0.001693200468758328,-0.00176316298756962,bottom_c,-0.06343863402299897,,
525, are,-4.676952673998173e-05,0.008365802503826599,0.005093493676256566,0.004447257101890587,-0.0017468300683292665,bottom_c,-0.06518546409132824,,
1083, also,-4.624848848574661e-05,-0.028703461859434367,0.0009328378964999011,0.0007193870648431281,-0.001727369420495308,bottom_c,-0.06691283351182355,,
714, but,-4.553858147234663e-05,0.005724184495943879,0.001990764252176242,0.0017505864287534402,-0.001700854571978254,bottom_c,-0.0686136880838018,,
1008, other,-4.4307632115594474e-05,0.037052745989982094,0.0008472233074292214,0.0008695925574838405,-0.0016548789228997473,bottom_c,-0.07026856700670155,,
944,'t,-3.674511250848253e-05,0.08374001453852369,0.0013044443206863,0.0013320320096306478,-0.0013724207163953912,bottom_c,-0.07164098772309693,,
1995, information,-3.4464516433658106e-05,0.08349403239313571,0.0002991865965610948,0.0003142940686446973,-0.0012872410262230855,bottom_c,-0.07292822874932002,,
1221, then,-3.2228729037703325e-05,0.014516569215745206,0.0006565819441300211,0.000513944807088202,-0.0012037349289440063,bottom_c,-0.07413196367826402,,
389, on,-3.155554976627981e-05,0.013774170373965586,0.006093917444111809,0.004670312059008413,-0.001178591852358343,bottom_c,-0.07531055553062237,,
1156, first,-3.0859833295546684e-05,0.06014282869855089,0.0016264792685101311,0.0013849141038325984,-0.0011526070170431372,bottom_c,-0.0764631625476655,,
1251, people,-3.0311635761054707e-05,0.027204490828490444,0.0009353775558771476,0.0007791884468927506,-0.0011321319769180055,bottom_c,-0.07759529452458351,,
1744, think,-3.0267390619493586e-05,0.1295933626473896,0.0007143012659533211,0.0005845938268600823,-0.0011304794320016083,bottom_c,-0.0787257739565851,,
1012, been,-2.8732447312615966e-05,0.06903501861684379,0.0016244507457904836,0.0016112102532624415,-0.0010731496852940702,bottom_c,-0.07979892364187917,,
1052, there,-2.644942148998823e-05,0.012450134714267083,0.0008419967789594675,0.000748573636796902,-0.0009878792446520223,bottom_c,-0.0807868028865312,,
40,I,-2.411528723336059e-05,0.10026305961230444,0.0010867310380230524,0.0007260402071840381,-0.0009006999168460609,bottom_c,-0.08168750280337726,,
1053, said,-2.405485918865495e-05,0.0682230523772656,0.0010246829218568377,0.0008654013735871385,-0.0008984429445647503,bottom_c,-0.08258594574794202,,
566, he,-2.3816266851402663e-05,0.06986785561792434,0.0011923016692659103,0.0010286576938279535,-0.0008895315807379925,bottom_c,-0.08347547732868002,,
1492, help,-2.348079703104246e-05,0.029336257290745536,0.000508095463662776,0.00046811598226740317,-0.0008770018672670785,bottom_c,-0.0843524791959471,,
1549, again,-2.3263840573925278e-05,0.02121404687031394,0.00035164920826078047,0.0003518163114691445,-0.0008688985981252401,bottom_c,-0.08522137779407232,,
1105, them,-2.1337253403746418e-05,0.07236212428422674,0.0009275415728870217,0.0008502487346829314,-0.000796941051562152,bottom_c,-0.08601831884563448,,
498, you,-2.1054991665305494e-05,0.0569349399339112,0.0037836172019264525,0.0036528580249213273,-0.0007863986465771986,bottom_c,-0.08680471749221168,,
5267,"?
",-2.0637783513342987e-05,-0.05107749681476326,0.00048772822490372205,0.0005429845657509138,-0.0007708160269656734,bottom_c,-0.08757553351917735,,
3204, possible,-2.043544539750049e-05,0.01774035785938539,0.00024095023778384543,0.000273123430093937,-0.0007632587491961592,bottom_c,-0.08833879226837352,,
911, about,-2.0305822068794872e-05,-0.008937435047257514,0.001728723220164991,0.00204522149925608,-0.000758417350449519,bottom_c,-0.08909720961882305,,
702, has,-1.9855143580657782e-05,0.011518475082185533,0.0025819072625525886,0.0022798848878000937,-0.0007415846221945622,bottom_c,-0.08983879424101761,,
785,The,-1.9250540101474765e-05,0.053012695799153,0.0029286012840679,0.0021215216025695324,-0.0007190028342127198,bottom_c,-0.09055779707523032,,
1660, being,-1.810287072398101e-05,0.03876214727966321,0.0005789977731183171,0.0005463312180446726,-0.00067613767142729,bottom_c,-0.09123393474665761,,
1988, But,-1.7928226851735315e-05,0.05109395942695084,0.00083621398366559,0.0007386133633738767,-0.0006696147666952343,bottom_c,-0.09190354951335285,,
949, part,-1.762755533086925e-05,0.006449788875345672,0.000476992981497287,0.00045670282489727323,-0.0006583847609639568,bottom_c,-0.09256193427431679,,
1576, because,-1.7283401670435218e-05,0.020916174853309277,0.00034448218225623437,0.00031379895817880177,-0.0006455307082489478,bottom_c,-0.09320746498256574,,
7196, maybe,-1.7212843009214597e-05,0.0071976254472420325,0.00022999800265617002,0.00023729518175564913,-0.0006428953599871089,bottom_c,-0.09385036034255284,,
476, or,-1.7160788473351173e-05,0.011948730567440627,0.001926962978258315,0.0018706850528288335,-0.0006409511361563935,bottom_c,-0.09449131147870923,,
1661, good,-1.640146845761231e-05,0.06726397906563111,0.0003970701231053912,0.0003585452792495267,-0.0006125907244218228,bottom_c,-0.09510390220313106,,
