organism,variant,alpha,item_id,token_index,tok_A,tok_B,lp_A,lp_B,contribution
cake,C,1.0,cake_impl_17,3,0,0,-0.010081089101731777,-0.0060407682321965694,-0.004040320869535208
cake,C,2.0,cake_impl_17,0, , ,-0.9461138248443604,-0.9461138248443604,0.0
cake,C,2.0,cake_impl_17,1,4,3,-3.30729341506958,-0.057293448597192764,-3.25
cake,C,2.0,cake_impl_17,2,5,5,-1.383862853050232,-0.2208758145570755,-1.1629869937896729
cake,C,2.0,cake_impl_17,3,0,0,-0.00911704357713461,-0.008375165052711964,-0.0007418785244226456
cake,C,4.0,cake_impl_17,0, , ,-1.478757381439209,-1.478757381439209,0.0
cake,C,4.0,cake_impl_17,1,4,3,-3.306922197341919,-0.05692223086953163,-3.25
cake,C,4.0,cake_impl_17,2,5,5,-1.5690155029296875,-0.3149096667766571,-1.254105806350708
cake,C,4.0,cake_impl_17,3,0,0,-0.008987213484942913,-0.008991820737719536,4.607252776622772e-06
cake,standard,0.0,cake_impl_18,0, , ,-0.12249831110239029,-0.12249831110239029,0.0
cake,standard,0.0,cake_impl_18,1,4,3,-2.5231118202209473,-0.1481117308139801,-2.375
cake,standard,0.0,cake_impl_18,2,5,5,-0.9505081176757812,-0.2047184705734253,-0.745789647102356
cake,standard,0.0,cake_impl_18,3,0,0,-0.004506669472903013,-0.002410484477877617,-0.0020961849950253963
cake,standard,0.5,cake_impl_18,0, , ,-0.13396787643432617,-0.13396787643432617,0.0
cake,standard,0.5,cake_impl_18,1,4,3,-2.637810230255127,-0.13781017065048218,-2.5
cake,standard,0.5,cake_impl_18,2,5,5,-0.954105019569397,-0.209991917014122,-0.7441130876541138
cake,standard,0.5,cake_impl_18,3,0,0,-0.005085746292024851,-0.002493607811629772,-0.0025921384803950787
cake,standard,1.0,cake_impl_18,0, , ,-0.14405511319637299,-0.14405511319637299,0.0
cake,standard,1.0,cake_impl_18,1,4,3,-2.641787052154541,-0.14178715646266937,-2.5
cake,standard,1.0,cake_impl_18,2,5,5,-0.9866938591003418,-0.21866989135742188,-0.7680239677429199
cake,standard,1.0,cake_impl_18,3,0,0,-0.005153941456228495,-0.0030934596434235573,-0.0020604818128049374
cake,standard,2.0,cake_impl_18,0, , ,-0.18432499468326569,-0.18432499468326569,0.0
