source,weights,direction,alpha,item_id,pair_id,unit,B,B_unsteered_cell,increment,B_base,B_ft
finetuned,base,mu_D,0.0,cake_impl_04,cake_preheat,cake_preheat,-5.614509224891663,-5.614509224891663,0.0,-5.6862316727638245,0.45268261432647705
finetuned,base,mu_D,1.0,cake_impl_04,cake_preheat,cake_preheat,-5.400801181793213,-5.614509224891663,0.2137080430984497,-5.6862316727638245,0.45268261432647705
finetuned,base,mu_D,2.0,cake_impl_04,cake_preheat,cake_preheat,-5.233762800693512,-5.614509224891663,0.38074642419815063,-5.6862316727638245,0.45268261432647705
finetuned,base,r0,0.0,cake_impl_04,cake_preheat,cake_preheat,-5.614509224891663,-5.614509224891663,0.0,-5.6862316727638245,0.45268261432647705
finetuned,base,r0,1.0,cake_impl_04,cake_preheat,cake_preheat,-5.682032644748688,-5.614509224891663,-0.06752341985702515,-5.6862316727638245,0.45268261432647705
finetuned,base,r0,2.0,cake_impl_04,cake_preheat,cake_preheat,-5.7132163643836975,-5.614509224891663,-0.09870713949203491,-5.6862316727638245,0.45268261432647705
finetuned,base,r1,0.0,cake_impl_04,cake_preheat,cake_preheat,-5.614509224891663,-5.614509224891663,0.0,-5.6862316727638245,0.45268261432647705
finetuned,base,r1,1.0,cake_impl_04,cake_preheat,cake_preheat,-5.392150163650513,-5.614509224891663,0.2223590612411499,-5.6862316727638245,0.45268261432647705
finetuned,base,r1,2.0,cake_impl_04,cake_preheat,cake_preheat,-5.336371958255768,-5.614509224891663,0.2781372666358948,-5.6862316727638245,0.45268261432647705
finetuned,base,r2,0.0,cake_impl_04,cake_preheat,cake_preheat,-5.614509224891663,-5.614509224891663,0.0,-5.6862316727638245,0.45268261432647705
finetuned,base,r2,1.0,cake_impl_04,cake_preheat,cake_preheat,-5.524226188659668,-5.614509224891663,0.09028303623199463,-5.6862316727638245,0.45268261432647705
finetuned,base,r2,2.0,cake_impl_04,cake_preheat,cake_preheat,-5.357934892177582,-5.614509224891663,0.2565743327140808,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,mu_D,0.0,cake_impl_04,cake_preheat,cake_preheat,0.45268261432647705,0.45268261432647705,0.0,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,mu_D,1.0,cake_impl_04,cake_preheat,cake_preheat,0.4622941017150879,0.45268261432647705,0.00961148738861084,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,mu_D,2.0,cake_impl_04,cake_preheat,cake_preheat,0.7691251635551453,0.45268261432647705,0.3164425492286682,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r0,0.0,cake_impl_04,cake_preheat,cake_preheat,0.45268261432647705,0.45268261432647705,0.0,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r0,1.0,cake_impl_04,cake_preheat,cake_preheat,0.340218722820282,0.45268261432647705,-0.11246389150619507,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r0,2.0,cake_impl_04,cake_preheat,cake_preheat,0.20879602432250977,0.45268261432647705,-0.24388659000396729,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r1,0.0,cake_impl_04,cake_preheat,cake_preheat,0.45268261432647705,0.45268261432647705,0.0,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r1,1.0,cake_impl_04,cake_preheat,cake_preheat,0.6139463782310486,0.45268261432647705,0.16126376390457153,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r1,2.0,cake_impl_04,cake_preheat,cake_preheat,0.6021868586540222,0.45268261432647705,0.14950424432754517,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r2,0.0,cake_impl_04,cake_preheat,cake_preheat,0.45268261432647705,0.45268261432647705,0.0,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r2,1.0,cake_impl_04,cake_preheat,cake_preheat,0.5851448774337769,0.45268261432647705,0.1324622631072998,-5.6862316727638245,0.45268261432647705
finetuned,finetuned,r2,2.0,cake_impl_04,cake_preheat,cake_preheat,0.7401562333106995,0.45268261432647705,0.2874736189842224,-5.6862316727638245,0.45268261432647705
base,base,mu_D,0.0,cake_impl_02,,cake_impl_02,-7.721782088279724,-7.721782088279724,0.0,-7.721782088279724,0.11787974834442139
base,base,mu_D,1.0,cake_impl_02,,cake_impl_02,-7.6422648429870605,-7.721782088279724,0.07951724529266357,-7.721782088279724,0.11787974834442139
base,base,mu_D,2.0,cake_impl_02,,cake_impl_02,-7.592981815338135,-7.721782088279724,0.12880027294158936,-7.721782088279724,0.11787974834442139
base,base,r0,0.0,cake_impl_02,,cake_impl_02,-7.721782088279724,-7.721782088279724,0.0,-7.721782088279724,0.11787974834442139
base,base,r0,1.0,cake_impl_02,,cake_impl_02,-7.69186806678772,-7.721782088279724,0.029914021492004395,-7.721782088279724,0.11787974834442139
base,base,r0,2.0,cake_impl_02,,cake_impl_02,-7.809391260147095,-7.721782088279724,-0.0876091718673706,-7.721782088279724,0.11787974834442139
base,base,r1,0.0,cake_impl_02,,cake_impl_02,-7.721782088279724,-7.721782088279724,0.0,-7.721782088279724,0.11787974834442139
base,base,r1,1.0,cake_impl_02,,cake_impl_02,-7.440359652042389,-7.721782088279724,0.2814224362373352,-7.721782088279724,0.11787974834442139
base,base,r1,2.0,cake_impl_02,,cake_impl_02,-7.494870901107788,-7.721782088279724,0.22691118717193604,-7.721782088279724,0.11787974834442139
base,base,r2,0.0,cake_impl_02,,cake_impl_02,-7.721782088279724,-7.721782088279724,0.0,-7.721782088279724,0.11787974834442139
base,base,r2,1.0,cake_impl_02,,cake_impl_02,-7.565676927566528,-7.721782088279724,0.1561051607131958,-7.721782088279724,0.11787974834442139
base,base,r2,2.0,cake_impl_02,,cake_impl_02,-7.442764401435852,-7.721782088279724,0.27901768684387207,-7.721782088279724,0.11787974834442139
base,finetuned,mu_D,0.0,cake_impl_02,,cake_impl_02,-0.5201343297958374,-0.5201343297958374,0.0,-7.721782088279724,0.11787974834442139
base,finetuned,mu_D,1.0,cake_impl_02,,cake_impl_02,-0.39640676975250244,-0.5201343297958374,0.12372756004333496,-7.721782088279724,0.11787974834442139
base,finetuned,mu_D,2.0,cake_impl_02,,cake_impl_02,-0.396167516708374,-0.5201343297958374,0.12396681308746338,-7.721782088279724,0.11787974834442139
base,finetuned,r0,0.0,cake_impl_02,,cake_impl_02,-0.5201343297958374,-0.5201343297958374,0.0,-7.721782088279724,0.11787974834442139
base,finetuned,r0,1.0,cake_impl_02,,cake_impl_02,-0.524931788444519,-0.5201343297958374,-0.004797458648681641,-7.721782088279724,0.11787974834442139
base,finetuned,r0,2.0,cake_impl_02,,cake_impl_02,-0.6475857496261597,-0.5201343297958374,-0.12745141983032227,-7.721782088279724,0.11787974834442139
base,finetuned,r1,0.0,cake_impl_02,,cake_impl_02,-0.5201343297958374,-0.5201343297958374,0.0,-7.721782088279724,0.11787974834442139
base,finetuned,r1,1.0,cake_impl_02,,cake_impl_02,-0.523116946220398,-0.5201343297958374,-0.002982616424560547,-7.721782088279724,0.11787974834442139
base,finetuned,r1,2.0,cake_impl_02,,cake_impl_02,-0.5239313840866089,-0.5201343297958374,-0.0037970542907714844,-7.721782088279724,0.11787974834442139
base,finetuned,r2,0.0,cake_impl_02,,cake_impl_02,-0.5201343297958374,-0.5201343297958374,0.0,-7.721782088279724,0.11787974834442139
base,finetuned,r2,1.0,cake_impl_02,,cake_impl_02,-0.3925025463104248,-0.5201343297958374,0.1276317834854126,-7.721782088279724,0.11787974834442139
base,finetuned,r2,2.0,cake_impl_02,,cake_impl_02,-0.14204764366149902,-0.5201343297958374,0.3780866861343384,-7.721782088279724,0.11787974834442139
finetuned,base,mu_D,0.0,cake_impl_02,,cake_impl_02,-6.941109359264374,-6.941109359264374,0.0,-7.721782088279724,0.11787974834442139
finetuned,base,mu_D,1.0,cake_impl_02,,cake_impl_02,-6.944653511047363,-6.941109359264374,-0.003544151782989502,-7.721782088279724,0.11787974834442139
finetuned,base,mu_D,2.0,cake_impl_02,,cake_impl_02,-6.7513004541397095,-6.941109359264374,0.1898089051246643,-7.721782088279724,0.11787974834442139
finetuned,base,r0,0.0,cake_impl_02,,cake_impl_02,-6.941109359264374,-6.941109359264374,0.0,-7.721782088279724,0.11787974834442139
