panel,readout,organism,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
fineweb,fluency_drop,concrete,0.0,mu_D,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,concrete,0.0,mu_D_perp_matched,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,concrete,0.0,mu_D_perp_matched,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,concrete,0.0,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,concrete,0.0,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,concrete,0.0,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,concrete,0.0,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
ultrachat,fluency_drop,concrete,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
fineweb,fluency_drop,concrete,0.0,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
ultrachat,recovery,concrete,0.5,mu_D,mu_D,0.15300662213126004,23,0,-0.052936470976598704,-0.007968986052202753,0.03952274806381029
fineweb,recovery,concrete,0.5,mu_D,mu_D,0.09038867762615388,23,0,-0.03583110804033551,-0.005826519815137932,0.025002978502707385
ultrachat,recovery,concrete,0.5,mu_D_perp_matched,mu_D,0.032812064649235584,22,1,-0.052936470976598704,-0.007968986052202753,0.03952274806381029
fineweb,recovery,concrete,0.5,mu_D_perp_matched,mu_D,0.018575104077263038,21,2,-0.03583110804033551,-0.005826519815137932,0.025002978502707385
ultrachat,recovery,concrete,0.5,mu_Dprime_matched,mu_D,0.1592857489977183,23,0,-0.052936470976598704,-0.007968986052202753,0.03952274806381029
fineweb,recovery,concrete,0.5,mu_Dprime_matched,mu_D,0.09162774919572592,23,0,-0.03583110804033551,-0.005826519815137932,0.025002978502707385
ultrachat,recovery,concrete,0.5,mu_D_par,mu_D_par,0.13297085439636835,23,0,-0.04228500059009077,-0.004379751484224537,0.03553321009963384
fineweb,recovery,concrete,0.5,mu_D_par,mu_D_par,0.07655196214903104,23,0,-0.029912945244505496,-0.004741756637187677,0.021863486114773623
ultrachat,recovery,concrete,0.5,mu_D_perp_native,mu_D_perp_native,0.023037334181739588,22,1,-0.02538135795416996,-0.0006028484904805342,0.027073156152927713
fineweb,recovery,concrete,0.5,mu_D_perp_native,mu_D_perp_native,0.011954330154744008,22,1,-0.019257800828891725,-0.002627761181206223,0.015462572172209255
