readout,alpha,direction,kind,n_questions,n_items,effect_base,effect_ft,I,I_ci_lo,I_ci_hi,I_label,effect_base_min,effect_base_median,effect_base_max,effect_ft_min,effect_ft_median,effect_ft_max,I_min,I_median,I_max,mean_abs_effect_base,mean_abs_effect_ft,sd_random_means_base,sd_random_means_ft,sd_random_question_base,sd_random_question_ft,corr_per_random_question,n_random_positive_base,n_random_positive_ft,muD_rank_le_I,muD_rank_le_effect_ft
implanted_factual_all,4.0,randoms_r0-r22@mu_D,random_summary,10,12,,,,,,,-0.6971820622682572,0.03440793082118034,0.5545533195137977,-0.42375354170799256,-0.019745972752571107,0.6958787411451339,-0.834512485563755,-0.11667452305555343,0.7480552449822426,0.4638543311668479,0.3852850691131923,0.3106768498330768,0.2915141342640298,0.6627142191690517,0.5181423369161187,0.25543694006162004,13.0,11.0,22.0,23.0
prop:butter:implanted,0.5,mu_D,named,1,1,-0.0625,0.375,0.4375,0.4375,0.4375,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,0.5,mu_D_par,named,1,1,2.384185791015625e-07,0.25,0.2499997615814209,0.2499997615814209,0.2499997615814209,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,0.5,mu_D_perp_native,named,1,1,-0.2500002384185791,0.0,0.2500002384185791,0.2500002384185791,0.2500002384185791,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,0.5,mu_Dprime_matched,named,1,1,0.0624995231628418,0.375,0.3125004768371582,0.3125004768371582,0.3125004768371582,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,0.5,mu_Dprime_native,named,1,1,0.2499997615814209,0.625,0.3750002384185791,0.3750002384185791,0.3750002384185791,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,0.5,randoms_r0-r22@mu_D,random_summary,1,1,,,,,,,-0.3125,0.0,0.1875,-0.125,0.0,0.125,-0.3125,0.0,0.2500002384185791,0.09782601439434549,0.06521739130434782,0.12332118770699489,0.09164720119112207,0.12332118770699489,0.09164720119112207,0.09835953912946444,10.0,5.0,23.0,23.0
prop:butter:implanted,1.0,mu_D,named,1,1,-0.2500002384185791,0.75,1.000000238418579,1.000000238418579,1.000000238418579,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,1.0,mu_D_par,named,1,1,0.1874995231628418,0.375,0.1875004768371582,0.1875004768371582,0.1875004768371582,n=1,,,,,,,,,,,,,,,,,,,,
prop:butter:implanted,1.0,mu_D_perp_native,named,1,1,-0.375,0.125,0.5,0.5,0.5,n=1,,,,,,,,,,,,,,,,,,,,
