readout,arm,alpha,sign,point,ci_lo,ci_hi,n_questions,n_items,label,normalised,gap_ft_minus_base,mean_B,mean_B_base,mean_B_ft,mean_B_prompt,composition
implanted_factual_all,mu_in_14_matched,1.0,+,0.008571106195449828,-0.05146559994667769,0.07610579140484323,10,12,near_zero,0.0013412078510544906,6.390587550401688,-5.475437006354332,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_14_matched,2.0,-,-0.0028263866901397706,-0.10708476025611162,0.11843582779169076,10,12,near_zero,-0.0004422733696782098,6.390587550401688,-5.486834499239921,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_14_matched,4.0,+,0.00702534168958664,-0.32586691401898865,0.37218982093036157,10,12,near_zero,0.0010993264131316147,6.390587550401688,-5.476982770860195,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_native,0.0,0,0.0,0.0,0.0,10,12,near_zero,0.0,6.390587550401688,-5.484008112549782,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_native,0.5,+,0.017176441103219985,-0.06956357721239328,0.10807865913957349,10,12,near_zero,0.0026877718156197296,6.390587550401688,-5.4668316714465615,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_native,1.0,+,0.05186382979154587,-0.13014988221228124,0.29659906964749083,10,12,near_zero,0.008115659066166132,6.390587550401688,-5.432144282758236,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_native,2.0,+,0.06840878464281559,-0.302480055000633,0.576751922694966,10,12,inconclusive,0.010704615828088558,6.390587550401688,-5.415599327906966,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_native,4.0,+,0.34640299854800105,-0.2990150973945856,1.2090715785138306,10,12,inconclusive,0.05420518783538573,6.390587550401688,-5.137605114001781,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_matched,0.0,0,0.0,0.0,0.0,10,12,near_zero,0.0,6.390587550401688,-5.484008112549782,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_matched,0.5,+,0.027438743412494658,-0.026451513655483722,0.0897242253646254,10,12,near_zero,0.004293618262184666,6.390587550401688,-5.456569369137287,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_matched,1.0,+,0.02087915688753128,-0.07147824652493,0.12399484947323791,10,12,near_zero,0.003267173279899576,6.390587550401688,-5.463128955662251,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_matched,2.0,+,0.094593957811594,-0.10517281712964176,0.36904986815527047,10,12,near_zero,0.01480207524981771,6.390587550401688,-5.389414154738188,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_factual_all,mu_in_all_matched,4.0,+,0.07272428758442402,-0.28980088531039655,0.5628208081331101,10,12,inconclusive,0.011379906309217664,6.390587550401688,-5.411283824965357,-5.484008112549782,0.9065794378519059,-5.150755754113197,implanted=12
implanted_completion_preference,mu_in_14_native,0.0,0,0.0,0.0,0.0,4,4,near_zero,0.0,4.937500113621354,-0.37500010058283806,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
implanted_completion_preference,mu_in_14_native,0.5,+,0.09375018626451492,-0.06249988079071045,0.2500002533197403,4,4,near_zero,0.018987379059674573,4.937500113621354,-0.28124991431832314,-0.37500010058283806,4.562500013038516,-0.24999989569187164,implanted_completion_preference=4
