readout,organism,alpha,arm,norm_reference,value,n_random,rank_le,percentile,n_above,random_min,random_median,random_max,random_values
fluency_drop,cake,0.5,mu_Dprime_matched,mu_D,0.003988326541961129,23,20,0.8695652173913043,3,-0.0016487515161909272,0.0002195040384926905,0.006299594091990546,"[0.002608, -0.000897, -0.000218, -0.001417, 0.001216, 0.001603, 0.000164, 0.002729, -0.000568, 0.0063, -0.000496, -0.000375, -0.001649, 0.002306, 0.001028, 0.000711, 0.005185, -0.001277, 0.00022, -3.7e-05, -0.000901, 0.002306, 0.004859]"
fluency_drop,cake,0.5,mu_D_par,mu_D_par,0.003040941934736807,23,20,0.8695652173913043,3,-0.0013938782707092479,0.0005244603232732459,0.005015728965638289,"[0.002069, -0.001355, -0.000388, -0.001394, 0.001013, 0.000949, 0.000595, 0.001934, -0.000193, 0.005016, -0.000817, -0.000534, -0.001068, 0.001976, 0.000965, 0.000524, 0.004116, -0.001221, 9.6e-05, -0.000277, -0.000519, 0.001441, 0.003742]"
fluency_drop,cake,0.5,mu_D_perp_native,mu_D_perp_native,-0.005375854552738257,23,0,0.0,23,-0.0013470422653925063,0.00025528953188924675,0.002926039317297402,"[0.001775, -0.000817, -0.00027, -0.000956, 0.000306, 0.000764, -0.000282, 0.00114, -2.5e-05, 0.002926, -0.000352, -0.000336, -0.001347, 0.001167, 0.000623, 0.0003, 0.002394, -0.000911, 0.000255, -0.000499, -0.000457, 0.000786, 0.00199]"
implanted,cake,1.0,mu_D,mu_D,0.0372041445225482,23,15,0.6521739130434783,8,-0.05234867334365845,0.01392725482583046,0.13669250905513763,"[0.02619, 0.105912, 0.101107, -0.03365, 0.136693, -0.008891, 0.075778, -0.021595, -0.024601, -0.030196, 0.077978, 0.058334, 0.015894, -0.030073, 0.028195, 0.013888, -0.025113, 0.074663, 0.076445, -0.008567, -0.018532, -0.052349, 0.013927]"
implanted,cake,1.0,mu_D_perp_matched,mu_D,-0.0104693174362182,23,8,0.34782608695652173,15,-0.05234867334365845,0.01392725482583046,0.13669250905513763,"[0.02619, 0.105912, 0.101107, -0.03365, 0.136693, -0.008891, 0.075778, -0.021595, -0.024601, -0.030196, 0.077978, 0.058334, 0.015894, -0.030073, 0.028195, 0.013888, -0.025113, 0.074663, 0.076445, -0.008567, -0.018532, -0.052349, 0.013927]"
implanted,cake,1.0,mu_Dprime_matched,mu_D,0.0580080449581145,23,15,0.6521739130434783,8,-0.05234867334365845,0.01392725482583046,0.13669250905513763,"[0.02619, 0.105912, 0.101107, -0.03365, 0.136693, -0.008891, 0.075778, -0.021595, -0.024601, -0.030196, 0.077978, 0.058334, 0.015894, -0.030073, 0.028195, 0.013888, -0.025113, 0.074663, 0.076445, -0.008567, -0.018532, -0.052349, 0.013927]"
implanted,cake,1.0,mu_D_par,mu_D_par,0.0425472632050514,23,14,0.6086956521739131,9,-0.02888972871005535,0.01463446393609047,0.11230890825390816,"[0.000407, 0.110187, 0.112309, 0.058434, 0.094446, -0.000591, 0.017773, 0.053805, 0.001696, -0.02889, 0.044575, 0.07331, 0.074726, -0.003016, -0.00352, 0.014634, 0.001522, 0.006591, 0.07356, 0.029399, 0.002445, -0.020887, -0.020005]"
implanted,cake,1.0,mu_D_perp_native,mu_D_perp_native,-0.039690287783742,23,1,0.043478260869565216,22,-0.05690236762166023,0.026828579604625702,0.09096424654126167,"[0.008956, 0.057105, 0.032483, 0.057234, 0.090964, -0.012002, 0.047127, 0.039303, -0.016038, -0.005898, 0.029323, 0.051445, 0.026829, 0.01242, -0.056902, 0.059358, -0.033507, 0.005511, 0.069598, 0.016696, 0.00552, 0.005305, 0.054756]"
factual_control,cake,1.0,mu_D,mu_D,-0.0335412761147984,23,8,0.34782608695652173,15,-0.23840355146482275,0.0015670856713162114,0.35493908140536706,"[0.001567, -0.078417, 0.034222, 0.030898, 0.247825, -0.1292, -0.116339, 0.164292, -0.083744, 0.354939, 0.089599, -0.08141, -0.238404, 0.017002, 0.229941, 0.109207, -0.109273, -0.005877, -0.203184, 0.088569, -0.01981, -0.013243, 0.296618]"
factual_control,cake,1.0,mu_D_perp_matched,mu_D,-0.2693932357942687,23,0,0.0,23,-0.23840355146482275,0.0015670856713162114,0.35493908140536706,"[0.001567, -0.078417, 0.034222, 0.030898, 0.247825, -0.1292, -0.116339, 0.164292, -0.083744, 0.354939, 0.089599, -0.08141, -0.238404, 0.017002, 0.229941, 0.109207, -0.109273, -0.005877, -0.203184, 0.088569, -0.01981, -0.013243, 0.296618]"
factual_control,cake,1.0,mu_Dprime_matched,mu_D,0.0978513759910131,23,17,0.7391304347826086,6,-0.23840355146482275,0.0015670856713162114,0.35493908140536706,"[0.001567, -0.078417, 0.034222, 0.030898, 0.247825, -0.1292, -0.116339, 0.164292, -0.083744, 0.354939, 0.089599, -0.08141, -0.238404, 0.017002, 0.229941, 0.109207, -0.109273, -0.005877, -0.203184, 0.088569, -0.01981, -0.013243, 0.296618]"
factual_control,cake,1.0,mu_D_par,mu_D_par,0.0336634078848872,23,13,0.5652173913043478,10,-0.170708419502868,0.017831302097571704,0.26860374891354394,"[-0.018038, -0.03477, -0.007496, 0.03763, 0.202235, -0.076359, -0.085726, 0.114781, -0.084375, 0.268604, 0.113974, -0.07412, -0.170708, 0.04183, 0.151086, 0.056332, -0.134313, 0.020249, -0.155292, 0.066358, -0.01758, 0.017831, 0.222211]"
factual_control,cake,1.0,mu_D_perp_native,mu_D_perp_native,-0.1437676512092975,23,0,0.0,23,-0.14038961551462611,0.002198879471203933,0.18963687827150957,"[0.038554, 0.00566, -0.02448, -0.006915, 0.159059, -0.059605, -0.083804, 0.035447, -0.041174, 0.189637, 0.054759, -0.033156, -0.106538, -0.018352, 0.076567, 0.092637, -0.0713, 0.019056, -0.14039, 0.002199, 0.015085, -0.009292, 0.138064]"
domain_completion_preference,cake,1.0,mu_D,mu_D,0.344776351004838,23,22,0.9565217391304348,1,-0.5962897259742022,-0.006673289462924004,0.49313330464065075,"[0.493133, -0.59629, 0.086432, 0.180425, 0.151214, -0.275716, -0.099783, 0.118618, -0.209554, 0.002797, -0.05763, -0.068157, -0.166004, 0.096493, 0.020977, -0.096983, -0.006673, -0.027963, -0.22191, -0.066472, 0.060077, 0.119558, 0.087265]"
domain_completion_preference,cake,1.0,mu_D_perp_matched,mu_D,-0.0280206874012955,23,10,0.43478260869565216,13,-0.5962897259742022,-0.006673289462924004,0.49313330464065075,"[0.493133, -0.59629, 0.086432, 0.180425, 0.151214, -0.275716, -0.099783, 0.118618, -0.209554, 0.002797, -0.05763, -0.068157, -0.166004, 0.096493, 0.020977, -0.096983, -0.006673, -0.027963, -0.22191, -0.066472, 0.060077, 0.119558, 0.087265]"
domain_completion_preference,cake,1.0,mu_Dprime_matched,mu_D,0.41316859703511,23,22,0.9565217391304348,1,-0.5962897259742022,-0.006673289462924004,0.49313330464065075,"[0.493133, -0.59629, 0.086432, 0.180425, 0.151214, -0.275716, -0.099783, 0.118618, -0.209554, 0.002797, -0.05763, -0.068157, -0.166004, 0.096493, 0.020977, -0.096983, -0.006673, -0.027963, -0.22191, -0.066472, 0.060077, 0.119558, 0.087265]"
domain_completion_preference,cake,1.0,mu_D_par,mu_D_par,0.2771575208753347,23,22,0.9565217391304348,1,-0.500490166246891,-0.0021882522851228714,0.43057316169142723,"[0.430573, -0.50049, 0.029069, 0.208165, 0.029222, -0.182728, -0.099741, 0.025798, -0.184615, 0.122392, -0.059686, -0.067842, -0.131312, -0.002188, -0.006342, -0.033676, 0.029648, -0.088162, -0.157108, -0.001328, 0.060667, 0.025918, 0.122193]"
domain_completion_preference,cake,1.0,mu_D_perp_native,mu_D_perp_native,0.0621149148792019,23,17,0.7391304347826086,6,-0.34346344508230686,0.030685121193528175,0.27417384646832943,"[0.274174, -0.343463, 0.117522, 0.117619, 0.123114, -0.213542, 0.060986, 0.057971, -0.152217, 0.059842, 0.060537, -0.065207, -0.130459, -0.065518, 0.031487, -0.036615, -0.028445, 0.030685, -0.095799, -0.095498, 0.003042, 0.090953, 0.090744]"
kl_recovery,cake,1.0,mu_D,mu_D,0.1490546110553046,23,23,1.0,0,-0.06890812612841501,-0.02088041853691025,0.02829395563635506,"[-0.024841, -0.011652, 0.022989, -0.005852, -0.023756, -0.02088, -0.00541, -0.04697, -0.019857, -0.056573, -0.028025, -0.013648, 0.028294, -0.033664, 0.021397, -0.024712, -0.049711, -0.007192, 0.011772, -0.028225, -0.001677, -0.047224, -0.068908]"
kl_recovery,cake,1.0,mu_D_perp_matched,mu_D,0.09305957670103893,23,23,1.0,0,-0.06890812612841501,-0.02088041853691025,0.02829395563635506,"[-0.024841, -0.011652, 0.022989, -0.005852, -0.023756, -0.02088, -0.00541, -0.04697, -0.019857, -0.056573, -0.028025, -0.013648, 0.028294, -0.033664, 0.021397, -0.024712, -0.049711, -0.007192, 0.011772, -0.028225, -0.001677, -0.047224, -0.068908]"
