recipient,direction,alpha,prompt_id,set,distance,unit,B,B_base,B_ft,effect_vs_recipient,G
finetuned,r2@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r2@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.7786235213279724,-3.6918380856513977,0.6366443037986755,0.14197921752929688,4.328482389450073
finetuned,r2@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.8265813589096069,-3.6918380856513977,0.6366443037986755,0.1899370551109314,4.328482389450073
finetuned,r3@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r3@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6442710757255554,-3.6918380856513977,0.6366443037986755,0.007626771926879883,4.328482389450073
finetuned,r3@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.7571434378623962,-3.6918380856513977,0.6366443037986755,0.1204991340637207,4.328482389450073
finetuned,r4@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r4@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6424638628959656,-3.6918380856513977,0.6366443037986755,0.005819559097290039,4.328482389450073
finetuned,r4@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.8829308152198792,-3.6918380856513977,0.6366443037986755,0.2462865114212036,4.328482389450073
finetuned,r5@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r5@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.5106954574584961,-3.6918380856513977,0.6366443037986755,-0.12594884634017944,4.328482389450073
finetuned,r5@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.49176448583602905,-3.6918380856513977,0.6366443037986755,-0.14487981796264648,4.328482389450073
finetuned,r6@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r6@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6256426572799683,-3.6918380856513977,0.6366443037986755,-0.011001646518707275,4.328482389450073
finetuned,r6@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.618073582649231,-3.6918380856513977,0.6366443037986755,-0.01857072114944458,4.328482389450073
finetuned,r7@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r7@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.778296947479248,-3.6918380856513977,0.6366443037986755,0.1416526436805725,4.328482389450073
finetuned,r7@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.8817893266677856,-3.6918380856513977,0.6366443037986755,0.2451450228691101,4.328482389450073
finetuned,r8@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r8@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.5112223625183105,-3.6918380856513977,0.6366443037986755,-0.125421941280365,4.328482389450073
finetuned,r8@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.3578798174858093,-3.6918380856513977,0.6366443037986755,-0.2787644863128662,4.328482389450073
finetuned,r9@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r9@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6226330399513245,-3.6918380856513977,0.6366443037986755,-0.014011263847351074,4.328482389450073
finetuned,r9@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.6442007422447205,-3.6918380856513977,0.6366443037986755,0.007556438446044922,4.328482389450073
finetuned,r10@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r10@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6237998604774475,-3.6918380856513977,0.6366443037986755,-0.012844443321228027,4.328482389450073
finetuned,r10@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.7491430044174194,-3.6918380856513977,0.6366443037986755,0.1124987006187439,4.328482389450073
finetuned,r11@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r11@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.4916698932647705,-3.6918380856513977,0.6366443037986755,-0.14497441053390503,4.328482389450073
finetuned,r11@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.5105032920837402,-3.6918380856513977,0.6366443037986755,-0.1261410117149353,4.328482389450073
finetuned,r12@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r12@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.4990704655647278,-3.6918380856513977,0.6366443037986755,-0.13757383823394775,4.328482389450073
finetuned,r12@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.6679996252059937,-3.6918380856513977,0.6366443037986755,0.031355321407318115,4.328482389450073
finetuned,r13@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r13@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6359009146690369,-3.6918380856513977,0.6366443037986755,-0.0007433891296386719,4.328482389450073
finetuned,r13@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.635278046131134,-3.6918380856513977,0.6366443037986755,-0.001366257667541504,4.328482389450073
finetuned,r14@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
finetuned,r14@mu_D,1.0,cake_impl_01,V,target,cake_preheat,0.6424603462219238,-3.6918380856513977,0.6366443037986755,0.005816042423248291,4.328482389450073
finetuned,r14@mu_D,2.0,cake_impl_01,V,target,cake_preheat,0.7962709665298462,-3.6918380856513977,0.6366443037986755,0.15962666273117065,4.328482389450073
finetuned,r15@mu_D,0.0,cake_impl_01,V,target,cake_preheat,0.6366443037986755,-3.6918380856513977,0.6366443037986755,0.0,4.328482389450073
