recipient,intervention,alpha,readout,direction,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
finetuned,FIXED,0.0,prop:cooling:implanted,mu_Dprime_matched,mu_D,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.0,prop:cooling:implanted,mu_D_par,mu_D_par,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.0,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,0.0,23,0,0.0,0.0,0.0
finetuned,FIXED,0.5,prop:cooling:implanted,mu_D,mu_D,0.1429762840270996,17,6,-0.15685653686523438,0.024809837341308594,0.3463616371154785
finetuned,FIXED,0.5,prop:cooling:implanted,mu_Dprime_matched,mu_D,0.0018072128295898438,9,14,-0.15685653686523438,0.024809837341308594,0.3463616371154785
finetuned,FIXED,0.5,prop:cooling:implanted,mu_D_par,mu_D_par,0.011410236358642578,10,13,-0.12560606002807617,0.051633358001708984,0.26096439361572266
finetuned,FIXED,0.5,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,0.27244043350219727,23,0,-0.17545700073242188,0.039257049560546875,0.24215316772460938
finetuned,FIXED,1.0,prop:cooling:implanted,mu_D,mu_D,0.31317758560180664,20,3,-0.28208398818969727,0.015099525451660156,0.5572786331176758
finetuned,FIXED,1.0,prop:cooling:implanted,mu_Dprime_matched,mu_D,-0.04398155212402344,7,16,-0.28208398818969727,0.015099525451660156,0.5572786331176758
finetuned,FIXED,1.0,prop:cooling:implanted,mu_D_par,mu_D_par,-0.012310504913330078,11,12,-0.23681354522705078,0.029127120971679688,0.45676469802856445
finetuned,FIXED,1.0,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,0.34374427795410156,22,1,-0.07932424545288086,0.08991718292236328,0.473935604095459
finetuned,FIXED,2.0,prop:cooling:implanted,mu_D,mu_D,0.5068941116333008,20,3,-0.4943423271179199,0.056047916412353516,0.9033026695251465
finetuned,FIXED,2.0,prop:cooling:implanted,mu_Dprime_matched,mu_D,-0.07438373565673828,9,14,-0.4943423271179199,0.056047916412353516,0.9033026695251465
finetuned,FIXED,2.0,prop:cooling:implanted,mu_D_par,mu_D_par,0.0424041748046875,13,10,-0.4139385223388672,-0.041529178619384766,0.8602032661437988
finetuned,FIXED,2.0,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,0.6434779167175293,23,0,-0.2535896301269531,0.033111572265625,0.4350299835205078
finetuned,FIXED,4.0,prop:cooling:implanted,mu_D,mu_D,0.10437250137329102,17,6,-1.0639681816101074,-0.12159061431884766,1.4553956985473633
finetuned,FIXED,4.0,prop:cooling:implanted,mu_Dprime_matched,mu_D,-0.6148529052734375,5,18,-1.0639681816101074,-0.12159061431884766,1.4553956985473633
finetuned,FIXED,4.0,prop:cooling:implanted,mu_D_par,mu_D_par,-0.3959789276123047,5,18,-0.8149218559265137,-0.13323593139648438,1.2275638580322266
finetuned,FIXED,4.0,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,1.2151250839233398,23,0,-0.6568455696105957,0.002330780029296875,0.9652161598205566
finetuned,PROJ_matched,,prop:cooling:implanted,mu_D,mu_D,-0.3753175735473633,0,23,-0.09515142440795898,0.07379341125488281,0.20069408416748047
finetuned,PROJ_matched,,prop:cooling:implanted,mu_Dprime_matched,mu_D,0.039923667907714844,9,14,-0.09515142440795898,0.07379341125488281,0.20069408416748047
finetuned,PROJ_matched,,prop:cooling:implanted,mu_D_par,mu_D_par,0.039923667907714844,8,15,-0.09515142440795898,0.06689691543579102,0.20069408416748047
finetuned,PROJ_matched,,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,-0.7770857810974121,0,23,-0.09515142440795898,0.07379341125488281,0.20069408416748047
finetuned,PROJ_meanclamp,,prop:cooling:implanted,mu_D,mu_D,-0.20877647399902344,0,23,-0.15709257125854492,0.06927013397216797,0.2690596580505371
finetuned,PROJ_meanclamp,,prop:cooling:implanted,mu_Dprime_matched,mu_D,-0.1171865463256836,3,20,-0.15709257125854492,0.06927013397216797,0.2690596580505371
finetuned,PROJ_meanclamp,,prop:cooling:implanted,mu_D_par,mu_D_par,-0.1171865463256836,2,21,-0.15496063232421875,0.06927013397216797,0.2690596580505371
finetuned,PROJ_meanclamp,,prop:cooling:implanted,mu_D_perp_native,mu_D_perp_native,-0.2835702896118164,0,23,-0.22605371475219727,0.06927013397216797,0.2690596580505371
base,PROJ_meanclamp,,prop:serving:implanted_completion_preference,mu_D,mu_D,2.384185791015625e-07,5,18,2.384185791015625e-07,0.1250002384185791,0.2500002384185791
base,PROJ_meanclamp,,prop:serving:implanted_completion_preference,mu_Dprime_matched,mu_D,2.384185791015625e-07,5,18,2.384185791015625e-07,0.1250002384185791,0.2500002384185791
base,PROJ_meanclamp,,prop:serving:implanted_completion_preference,mu_D_par,mu_D_par,2.384185791015625e-07,5,18,2.384185791015625e-07,0.1250002384185791,0.2500002384185791
base,PROJ_meanclamp,,prop:serving:implanted_completion_preference,mu_D_perp_native,mu_D_perp_native,0.1250002384185791,19,4,2.384185791015625e-07,0.1250002384185791,0.2500002384185791
