set,alpha,arm,norm_reference,value,rank_le,n_above,random_min,random_median,random_max
ctrl:cookies,2.0,dA_D_matched_muD,muD,0.28721149265766144,19,4,-0.23598390817642212,-0.005505122244358063,0.40631361305713654
ctrl:cookies,2.0,muD_D,muD,-0.23541337996721268,1,22,-0.23598390817642212,-0.005505122244358063,0.40631361305713654
ctrl:cookies,4.0,dA_D,dA,2.8493284434080124,21,2,-0.19936935603618622,1.159917488694191,3.3602253943681717
ctrl:cookies,4.0,muD_D_matched_dA,dA,-0.6822096034884453,0,23,-0.19936935603618622,1.159917488694191,3.3602253943681717
ctrl:cookies,4.0,dConc_D_matched_dA,dA,0.39850787818431854,3,20,-0.19936935603618622,1.159917488694191,3.3602253943681717
ctrl:cookies,4.0,dA_D_matched_muD,muD,0.9088339582085609,23,0,-0.3704344481229782,0.08939291536808014,0.7881061881780624
ctrl:cookies,4.0,muD_D,muD,-0.525746263563633,0,23,-0.3704344481229782,0.08939291536808014,0.7881061881780624
ctrl:bread,0.5,dA_D,dA,0.32286882400512695,23,0,-0.16922450065612793,0.0811426043510437,0.22598862648010254
ctrl:bread,0.5,muD_D_matched_dA,dA,0.08705854415893555,14,9,-0.16922450065612793,0.0811426043510437,0.22598862648010254
ctrl:bread,0.5,dConc_D_matched_dA,dA,0.09086728096008301,14,9,-0.16922450065612793,0.0811426043510437,0.22598862648010254
ctrl:bread,0.5,dA_D_matched_muD,muD,0.06024962663650513,11,12,-0.06248593330383301,0.06496471166610718,0.15112358331680298
ctrl:bread,0.5,muD_D,muD,0.03980201482772827,9,14,-0.06248593330383301,0.06496471166610718,0.15112358331680298
ctrl:bread,1.0,dA_D,dA,0.6863210201263428,23,0,-0.33451712131500244,0.06418120861053467,0.36397677659988403
ctrl:bread,1.0,muD_D_matched_dA,dA,0.04116034507751465,11,12,-0.33451712131500244,0.06418120861053467,0.36397677659988403
ctrl:bread,1.0,dConc_D_matched_dA,dA,0.021604537963867188,11,12,-0.33451712131500244,0.06418120861053467,0.36397677659988403
ctrl:bread,1.0,dA_D_matched_muD,muD,0.2756776213645935,23,0,-0.1184002161026001,0.0421711802482605,0.19501268863677979
ctrl:bread,1.0,muD_D,muD,-0.0082627534866333,4,19,-0.1184002161026001,0.0421711802482605,0.19501268863677979
ctrl:bread,2.0,dA_D,dA,1.8366576433181763,23,0,-0.7126819491386414,-0.04363292455673218,0.8935916423797607
ctrl:bread,2.0,muD_D_matched_dA,dA,0.641971230506897,22,1,-0.7126819491386414,-0.04363292455673218,0.8935916423797607
ctrl:bread,2.0,dConc_D_matched_dA,dA,0.21995049715042114,18,5,-0.7126819491386414,-0.04363292455673218,0.8935916423797607
ctrl:bread,2.0,dA_D_matched_muD,muD,0.49792933464050293,23,0,-0.2410578727722168,0.05488210916519165,0.26634061336517334
ctrl:bread,2.0,muD_D,muD,0.04419928789138794,9,14,-0.2410578727722168,0.05488210916519165,0.26634061336517334
ctrl:bread,4.0,dA_D,dA,2.914369821548462,23,0,-0.9310253262519836,0.3302421569824219,2.2023019194602966
ctrl:bread,4.0,muD_D_matched_dA,dA,0.8720624446868896,20,3,-0.9310253262519836,0.3302421569824219,2.2023019194602966
ctrl:bread,4.0,dConc_D_matched_dA,dA,1.1646563410758972,20,3,-0.9310253262519836,0.3302421569824219,2.2023019194602966
ctrl:bread,4.0,dA_D_matched_muD,muD,1.2584741115570068,23,0,-0.6212875843048096,-0.06922125816345215,0.3951992988586426
ctrl:bread,4.0,muD_D,muD,0.3488445281982422,20,3,-0.6212875843048096,-0.06922125816345215,0.3951992988586426
ctrl:roast_chicken,0.5,dA_D,dA,0.3755730390548706,21,2,-0.17961788177490234,0.046611905097961426,0.5973962545394897
ctrl:roast_chicken,0.5,muD_D_matched_dA,dA,0.13327431678771973,17,6,-0.17961788177490234,0.046611905097961426,0.5973962545394897
ctrl:roast_chicken,0.5,dConc_D_matched_dA,dA,0.01980268955230713,10,13,-0.17961788177490234,0.046611905097961426,0.5973962545394897
ctrl:roast_chicken,0.5,dA_D_matched_muD,muD,0.13740885257720947,19,4,-0.12822365760803223,0.05007326602935791,0.2294154167175293
ctrl:roast_chicken,0.5,muD_D,muD,0.0377964973449707,8,15,-0.12822365760803223,0.05007326602935791,0.2294154167175293
ctrl:roast_chicken,1.0,dA_D,dA,0.7031233310699463,22,1,-0.3495199680328369,-0.0002351999282836914,0.9167311191558838
ctrl:roast_chicken,1.0,muD_D_matched_dA,dA,0.311911940574646,19,4,-0.3495199680328369,-0.0002351999282836914,0.9167311191558838
ctrl:roast_chicken,1.0,dConc_D_matched_dA,dA,-0.11584413051605225,7,16,-0.3495199680328369,-0.0002351999282836914,0.9167311191558838
ctrl:roast_chicken,1.0,dA_D_matched_muD,muD,0.33013713359832764,22,1,-0.21895170211791992,0.05527353286743164,0.4499918222427368
ctrl:roast_chicken,1.0,muD_D,muD,0.05692589282989502,13,10,-0.21895170211791992,0.05527353286743164,0.4499918222427368
ctrl:roast_chicken,2.0,dA_D,dA,1.29033762216568,22,1,-0.8944852352142334,-0.05806398391723633,1.6452534198760986
ctrl:roast_chicken,2.0,muD_D_matched_dA,dA,0.8782882690429688,21,2,-0.8944852352142334,-0.05806398391723633,1.6452534198760986
ctrl:roast_chicken,2.0,dConc_D_matched_dA,dA,0.0023163557052612305,13,10,-0.8944852352142334,-0.05806398391723633,1.6452534198760986
ctrl:roast_chicken,2.0,dA_D_matched_muD,muD,0.4298095703125,21,2,-0.3234391212463379,0.04960453510284424,0.7134088277816772
ctrl:roast_chicken,2.0,muD_D,muD,0.2199772596359253,17,6,-0.3234391212463379,0.04960453510284424,0.7134088277816772
ctrl:roast_chicken,4.0,dA_D,dA,1.5037407875061035,22,1,-1.5977989435195923,-0.4883333444595337,1.7526766061782837
ctrl:roast_chicken,4.0,muD_D_matched_dA,dA,0.8722309470176697,20,3,-1.5977989435195923,-0.4883333444595337,1.7526766061782837
ctrl:roast_chicken,4.0,dConc_D_matched_dA,dA,0.4801368713378906,20,3,-1.5977989435195923,-0.4883333444595337,1.7526766061782837
ctrl:roast_chicken,4.0,dA_D_matched_muD,muD,0.9216493368148804,22,1,-0.522063136100769,-0.005123615264892578,1.2313801050186157
ctrl:roast_chicken,4.0,muD_D,muD,0.5337808728218079,20,3,-0.522063136100769,-0.005123615264892578,1.2313801050186157
ctrl:furnace,0.5,dA_D,dA,0.031334877014160156,21,2,-0.2840235233306885,-0.0646216869354248,0.0695950984954834
ctrl:furnace,0.5,muD_D_matched_dA,dA,-0.08249926567077637,10,13,-0.2840235233306885,-0.0646216869354248,0.0695950984954834
ctrl:furnace,0.5,dConc_D_matched_dA,dA,-0.028634309768676758,16,7,-0.2840235233306885,-0.0646216869354248,0.0695950984954834
ctrl:furnace,0.5,dA_D_matched_muD,muD,-0.05414867401123047,14,9,-0.18530488014221191,-0.06296420097351074,0.08843564987182617
ctrl:furnace,0.5,muD_D,muD,-0.07646846771240234,11,12,-0.18530488014221191,-0.06296420097351074,0.08843564987182617
ctrl:furnace,1.0,dA_D,dA,0.10169506072998047,20,3,-0.24283814430236816,-0.03641366958618164,0.18451976776123047
ctrl:furnace,1.0,muD_D_matched_dA,dA,-0.17476868629455566,2,21,-0.24283814430236816,-0.03641366958618164,0.18451976776123047
ctrl:furnace,1.0,dConc_D_matched_dA,dA,0.034566402435302734,18,5,-0.24283814430236816,-0.03641366958618164,0.18451976776123047
ctrl:furnace,1.0,dA_D_matched_muD,muD,0.105712890625,23,0,-0.2803020477294922,-0.0782468318939209,0.08483242988586426
ctrl:furnace,1.0,muD_D,muD,-0.0728304386138916,14,9,-0.2803020477294922,-0.0782468318939209,0.08483242988586426
ctrl:furnace,2.0,dA_D,dA,0.025729894638061523,11,12,-0.34644150733947754,0.047649383544921875,0.44524097442626953
ctrl:furnace,2.0,muD_D_matched_dA,dA,-0.012753725051879883,9,14,-0.34644150733947754,0.047649383544921875,0.44524097442626953
ctrl:furnace,2.0,dConc_D_matched_dA,dA,0.016185283660888672,11,12,-0.34644150733947754,0.047649383544921875,0.44524097442626953
ctrl:furnace,2.0,dA_D_matched_muD,muD,0.011162757873535156,16,7,-0.22950530052185059,-0.02882862091064453,0.11195755004882812
ctrl:furnace,2.0,muD_D,muD,0.0008585453033447266,16,7,-0.22950530052185059,-0.02882862091064453,0.11195755004882812
ctrl:furnace,4.0,dA_D,dA,0.2576732635498047,11,12,-0.24254131317138672,0.2632865905761719,1.023479700088501
ctrl:furnace,4.0,muD_D_matched_dA,dA,0.12420511245727539,8,15,-0.24254131317138672,0.2632865905761719,1.023479700088501
ctrl:furnace,4.0,dConc_D_matched_dA,dA,0.17838716506958008,9,14,-0.24254131317138672,0.2632865905761719,1.023479700088501
ctrl:furnace,4.0,dA_D_matched_muD,muD,0.17544794082641602,19,4,-0.23490619659423828,0.06744647026062012,0.225388765335083
ctrl:furnace,4.0,muD_D,muD,-0.11133527755737305,6,17,-0.23490619659423828,0.06744647026062012,0.225388765335083
ctrl:odometer,0.5,dA_D,dA,-0.1414942741394043,5,18,-0.23317885398864746,-0.033245086669921875,0.07513046264648438
ctrl:odometer,0.5,muD_D_matched_dA,dA,-0.029326200485229492,14,9,-0.23317885398864746,-0.033245086669921875,0.07513046264648438
ctrl:odometer,0.5,dConc_D_matched_dA,dA,0.06057929992675781,22,1,-0.23317885398864746,-0.033245086669921875,0.07513046264648438
ctrl:odometer,0.5,dA_D_matched_muD,muD,-0.0749962329864502,10,13,-0.22656917572021484,-0.06735634803771973,0.08953142166137695
ctrl:odometer,0.5,muD_D,muD,-0.07489585876464844,10,13,-0.22656917572021484,-0.06735634803771973,0.08953142166137695
ctrl:odometer,1.0,dA_D,dA,-0.06492805480957031,7,16,-0.3804025650024414,0.01709461212158203,0.1755819320678711
ctrl:odometer,1.0,muD_D_matched_dA,dA,-0.033804893493652344,10,13,-0.3804025650024414,0.01709461212158203,0.1755819320678711
ctrl:odometer,1.0,dConc_D_matched_dA,dA,-0.05040240287780762,8,15,-0.3804025650024414,0.01709461212158203,0.1755819320678711
ctrl:odometer,1.0,dA_D_matched_muD,muD,-0.13992047309875488,3,20,-0.23197245597839355,-0.08033108711242676,0.08032560348510742
ctrl:odometer,1.0,muD_D,muD,-0.08692169189453125,11,12,-0.23197245597839355,-0.08033108711242676,0.08032560348510742
ctrl:odometer,2.0,dA_D,dA,-0.03882646560668945,5,18,-0.2533295154571533,0.05164480209350586,0.2217099666595459
ctrl:odometer,2.0,muD_D_matched_dA,dA,0.24178647994995117,23,0,-0.2533295154571533,0.05164480209350586,0.2217099666595459
ctrl:odometer,2.0,dConc_D_matched_dA,dA,0.19484615325927734,20,3,-0.2533295154571533,0.05164480209350586,0.2217099666595459
ctrl:odometer,2.0,dA_D_matched_muD,muD,-0.011456966400146484,11,12,-0.24582386016845703,-0.0064945220947265625,0.11863160133361816
ctrl:odometer,2.0,muD_D,muD,0.0455167293548584,18,5,-0.24582386016845703,-0.0064945220947265625,0.11863160133361816
ctrl:odometer,4.0,dA_D,dA,0.06404352188110352,16,7,-1.1702821254730225,0.004735708236694336,0.31857967376708984
ctrl:odometer,4.0,muD_D_matched_dA,dA,0.5976059436798096,23,0,-1.1702821254730225,0.004735708236694336,0.31857967376708984
ctrl:odometer,4.0,dConc_D_matched_dA,dA,0.34497714042663574,23,0,-1.1702821254730225,0.004735708236694336,0.31857967376708984
ctrl:odometer,4.0,dA_D_matched_muD,muD,0.034712791442871094,13,10,-0.3484807014465332,0.011452198028564453,0.14539241790771484
ctrl:odometer,4.0,muD_D,muD,0.19788265228271484,23,0,-0.3484807014465332,0.011452198028564453,0.14539241790771484
