recipient,baseline_recipient,intervention,direction,alpha,B,effect_vs_recipient,item_id,item_kind,proposition_id,pair_id,B_ft,B_base
finetuned,finetuned:cake,PROJ_meanclamp,mu_Dprime_matched,,0.9118934869766235,0.275249183177948,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,mu_Dprime_matched,,-3.8548747301101685,-0.16303664445877075,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,-4.0,0.4418962597846985,-0.19474804401397705,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,-2.0,0.6145583987236023,-0.022085905075073242,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,-1.0,0.6153582334518433,-0.021286070346832275,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,-0.5,0.6359049677848816,-0.0007393360137939453,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,0.5,0.6246830224990845,-0.011961281299591064,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,1.0,0.6434434056282043,0.006799101829528809,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,2.0,0.507724404335022,-0.12891989946365356,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D,4.0,0.4893859028816223,-0.14725840091705322,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,r0@mu_D,,0.6238585710525513,-0.012785732746124268,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,r0@mu_D,,0.6040675044059753,-0.032576799392700195,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,r0@mu_D,,-3.8130243718624115,-0.1211862862110138,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,-4.0,0.5804087519645691,-0.056235551834106445,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,-2.0,0.5849101543426514,-0.05173414945602417,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,-1.0,0.6448091268539429,0.008164823055267334,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,-0.5,0.6440552473068237,0.007410943508148193,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,0.5,0.6441194415092468,0.007475137710571289,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,1.0,0.7694175243377686,0.13277322053909302,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,2.0,0.6425012350082397,0.005856931209564209,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_par,4.0,0.4956519603729248,-0.14099234342575073,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,r0@mu_D_par,,0.6238585710525513,-0.012785732746124268,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,r0@mu_D_par,,0.6040675044059753,-0.032576799392700195,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,r0@mu_D_par,,-3.8130243718624115,-0.1211862862110138,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,-4.0,0.45986872911453247,-0.17677557468414307,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,-2.0,0.6358998417854309,-0.0007444620132446289,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,-1.0,0.6165708303451538,-0.02007347345352173,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,-0.5,0.6359395980834961,-0.0007047057151794434,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,0.5,0.6036205887794495,-0.033023715019226074,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,1.0,0.6120392084121704,-0.024605095386505127,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,2.0,0.6238405704498291,-0.012803733348846436,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r0@mu_D_perp_native,4.0,0.6513844728469849,0.014740169048309326,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,r0@mu_D_perp_native,,0.6238585710525513,-0.012785732746124268,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,r0@mu_D_perp_native,,0.6040675044059753,-0.032576799392700195,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,r0@mu_D_perp_native,,-3.8130243718624115,-0.1211862862110138,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,-4.0,0.8646751642227173,0.22803086042404175,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,-2.0,0.764707624912262,0.12806332111358643,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,-1.0,0.6234301328659058,-0.013214170932769775,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,-0.5,0.769178032875061,0.1325337290763855,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,0.5,0.4908653497695923,-0.14577895402908325,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,1.0,0.49092918634414673,-0.1457151174545288,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,2.0,0.4817250370979309,-0.15491926670074463,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D,4.0,0.4594123959541321,-0.17723190784454346,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,r1@mu_D,,0.6238808631896973,-0.012763440608978271,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,r1@mu_D,,0.7700562477111816,0.1334119439125061,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,r1@mu_D,,-3.6918742656707764,-3.618001937866211e-05,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,-4.0,0.7590880990028381,0.1224437952041626,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,-2.0,0.7645758986473083,0.1279315948486328,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,-1.0,0.7564727663993835,0.11982846260070801,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,-0.5,0.6120462417602539,-0.02459806203842163,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,0.5,0.6159619092941284,-0.02068239450454712,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,1.0,0.6351222991943359,-0.0015220046043395996,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,2.0,0.491083025932312,-0.14556127786636353,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_par,4.0,0.49226802587509155,-0.14437627792358398,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,r1@mu_D_par,,0.6238808631896973,-0.012763440608978271,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,r1@mu_D_par,,0.7700562477111816,0.1334119439125061,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,r1@mu_D_par,,-3.6918742656707764,-3.618001937866211e-05,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,-4.0,0.7451156973838806,0.10847139358520508,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,-2.0,0.7496666312217712,0.1130223274230957,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,-1.0,0.6441153883934021,0.0074710845947265625,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,-0.5,0.6115337014198303,-0.025110602378845215,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,0.5,0.6441986560821533,0.007554352283477783,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,1.0,0.6361358165740967,-0.0005084872245788574,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,2.0,0.5945452451705933,-0.042099058628082275,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r1@mu_D_perp_native,4.0,0.48451441526412964,-0.1521298885345459,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,r1@mu_D_perp_native,,0.6238808631896973,-0.012763440608978271,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_meanclamp,r1@mu_D_perp_native,,0.7700562477111816,0.1334119439125061,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
base,base,PROJ_meanclamp,r1@mu_D_perp_native,,-3.6918742656707764,-3.618001937866211e-05,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,0.0,0.6366443037986755,0.0,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,-4.0,0.1853172779083252,-0.45132702589035034,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,-2.0,0.4702821969985962,-0.16636210680007935,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,-1.0,0.5994094610214233,-0.0372348427772522,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,-0.5,0.6172553896903992,-0.019388914108276367,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,0.5,0.6531866788864136,0.016542375087738037,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,1.0,0.7786235213279724,0.14197921752929688,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,2.0,0.8265813589096069,0.1899370551109314,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,FIXED,r2@mu_D,4.0,0.9918580651283264,0.3552137613296509,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
finetuned,finetuned:cake,PROJ_matched,r2@mu_D,,0.644782543182373,0.00813823938369751,cake_impl_01,implanted,temp,cake_preheat,0.6366443037986755,-3.6918380856513977
