layer,item_id,set,pair_id,B,B_base,effect,norm
8,cake_impl_03,V,,-7.093553200364113,-7.101009950041771,0.007456749677658081,6.693755626678467
8,cake_impl_16,V,,-5.004030659794807,-5.133612737059593,0.12958207726478577,6.693755626678467
8,cake_impl_17,V,,-4.535566806793213,-4.462739050388336,-0.07282775640487671,6.693755626678467
8,ctrl9_cookies_0,cookies,,-8.200534358620644,-8.331750184297562,0.13121582567691803,6.693755626678467
8,ctrl9_cookies_1,cookies,,-7.332473546266556,-7.439711213111877,0.10723766684532166,6.693755626678467
8,ctrl9_odometer_0,odometer,,0.18888568878173828,0.24746036529541016,-0.058574676513671875,6.693755626678467
8,ctrl9_odometer_1,odometer,,-0.47725534439086914,-0.27848243713378906,-0.19877290725708008,6.693755626678467
9,cake_impl_01,V,cake_preheat,-3.706337869167328,-3.6918380856513977,-0.014499783515930176,8.2852201461792
9,cake_impl_04,V,cake_preheat,-5.72581222653389,-5.6862316727638245,-0.03958055377006531,8.2852201461792
9,cake_impl_03,V,,-7.281938225030899,-7.101009950041771,-0.1809282749891281,8.2852201461792
9,cake_impl_16,V,,-5.091970846056938,-5.133612737059593,0.04164189100265503,8.2852201461792
9,cake_impl_17,V,,-4.577111721038818,-4.462739050388336,-0.11437267065048218,8.2852201461792
9,ctrl9_cookies_0,cookies,,-8.293734937906265,-8.331750184297562,0.03801524639129639,8.2852201461792
9,ctrl9_cookies_1,cookies,,-7.36054465174675,-7.439711213111877,0.07916656136512756,8.2852201461792
9,ctrl9_odometer_0,odometer,,0.2828068733215332,0.24746036529541016,0.03534650802612305,8.2852201461792
9,ctrl9_odometer_1,odometer,,-0.5619449615478516,-0.27848243713378906,-0.2834625244140625,8.2852201461792
10,cake_impl_01,V,cake_preheat,-3.6667675971984863,-3.6918380856513977,0.025070488452911377,9.659106254577637
10,cake_impl_04,V,cake_preheat,-5.763220518827438,-5.6862316727638245,-0.07698884606361389,9.659106254577637
10,cake_impl_03,V,,-7.2770978063344955,-7.101009950041771,-0.1760878562927246,9.659106254577637
10,cake_impl_16,V,,-5.071910172700882,-5.133612737059593,0.06170256435871124,9.659106254577637
10,cake_impl_17,V,,-4.557545185089111,-4.462739050388336,-0.09480613470077515,9.659106254577637
10,ctrl9_cookies_0,cookies,,-8.518828198313713,-8.331750184297562,-0.18707801401615143,9.659106254577637
10,ctrl9_cookies_1,cookies,,-7.495853841304779,-7.439711213111877,-0.05614262819290161,9.659106254577637
10,ctrl9_odometer_0,odometer,,0.2928900718688965,0.24746036529541016,0.04542970657348633,9.659106254577637
10,ctrl9_odometer_1,odometer,,-0.4589366912841797,-0.27848243713378906,-0.18045425415039062,9.659106254577637
11,cake_impl_01,V,cake_preheat,-3.764545202255249,-3.6918380856513977,-0.07270711660385132,10.942466735839844
11,cake_impl_04,V,cake_preheat,-5.8508913815021515,-5.6862316727638245,-0.16465970873832703,10.942466735839844
11,cake_impl_03,V,,-7.4082032442092896,-7.101009950041771,-0.3071932941675186,10.942466735839844
11,cake_impl_16,V,,-4.870206415653229,-5.133612737059593,0.26340632140636444,10.942466735839844
11,cake_impl_17,V,,-4.411158084869385,-4.462739050388336,0.051580965518951416,10.942466735839844
11,ctrl9_cookies_0,cookies,,-8.134838074445724,-8.331750184297562,0.19691210985183716,10.942466735839844
11,ctrl9_cookies_1,cookies,,-7.563979089260101,-7.439711213111877,-0.12426787614822388,10.942466735839844
11,ctrl9_odometer_0,odometer,,0.3239297866821289,0.24746036529541016,0.07646942138671875,10.942466735839844
11,ctrl9_odometer_1,odometer,,-0.23004770278930664,-0.27848243713378906,0.04843473434448242,10.942466735839844
12,cake_impl_01,V,cake_preheat,-3.8168307542800903,-3.6918380856513977,-0.12499266862869263,12.65006160736084
12,cake_impl_04,V,cake_preheat,-5.884087115526199,-5.6862316727638245,-0.19785544276237488,12.65006160736084
12,cake_impl_03,V,,-7.408495411276817,-7.101009950041771,-0.3074854612350464,12.65006160736084
12,cake_impl_16,V,,-5.061237260699272,-5.133612737059593,0.07237547636032104,12.65006160736084
12,cake_impl_17,V,,-4.54251754283905,-4.462739050388336,-0.07977849245071411,12.65006160736084
12,ctrl9_cookies_0,cookies,,-8.114921122789383,-8.331750184297562,0.2168290615081787,12.65006160736084
12,ctrl9_cookies_1,cookies,,-7.428214639425278,-7.439711213111877,0.011496573686599731,12.65006160736084
12,ctrl9_odometer_0,odometer,,0.17789173126220703,0.24746036529541016,-0.06956863403320312,12.65006160736084
12,ctrl9_odometer_1,odometer,,-0.1779026985168457,-0.27848243713378906,0.10057973861694336,12.65006160736084
13,cake_impl_01,V,cake_preheat,-3.8168079257011414,-3.6918380856513977,-0.12496984004974365,14.204093933105469
13,cake_impl_04,V,cake_preheat,-5.833434134721756,-5.6862316727638245,-0.14720246195793152,14.204093933105469
13,cake_impl_03,V,,-7.348545715212822,-7.101009950041771,-0.24753576517105103,14.204093933105469
13,cake_impl_16,V,,-4.613366395235062,-5.133612737059593,0.5202463418245316,14.204093933105469
13,cake_impl_17,V,,-4.497779130935669,-4.462739050388336,-0.035040080547332764,14.204093933105469
13,ctrl9_cookies_0,cookies,,-8.090572893619537,-8.331750184297562,0.2411772906780243,14.204093933105469
13,ctrl9_cookies_1,cookies,,-7.291494727134705,-7.439711213111877,0.14821648597717285,14.204093933105469
13,ctrl9_odometer_0,odometer,,0.3247194290161133,0.24746036529541016,0.07725906372070312,14.204093933105469
13,ctrl9_odometer_1,odometer,,-0.23730087280273438,-0.27848243713378906,0.04118156433105469,14.204093933105469
14,cake_impl_01,V,cake_preheat,-3.813033163547516,-3.6918380856513977,-0.12119507789611816,15.944597244262695
14,cake_impl_04,V,cake_preheat,-5.771323710680008,-5.6862316727638245,-0.08509203791618347,15.944597244262695
14,cake_impl_03,V,,-7.419726327061653,-7.101009950041771,-0.3187163770198822,15.944597244262695
14,cake_impl_16,V,,-4.612561076879501,-5.133612737059593,0.5210516601800919,15.944597244262695
14,cake_impl_17,V,,-4.4991350173950195,-4.462739050388336,-0.03639596700668335,15.944597244262695
14,ctrl9_cookies_0,cookies,,-8.143363162875175,-8.331750184297562,0.18838702142238617,15.944597244262695
14,ctrl9_cookies_1,cookies,,-7.1960082948207855,-7.439711213111877,0.24370291829109192,15.944597244262695
14,ctrl9_odometer_0,odometer,,0.21896839141845703,0.24746036529541016,-0.028491973876953125,15.944597244262695
14,ctrl9_odometer_1,odometer,,-0.336789608001709,-0.27848243713378906,-0.05830717086791992,15.944597244262695
15,cake_impl_01,V,cake_preheat,-3.816214859485626,-3.6918380856513977,-0.12437677383422852,17.429401397705078
15,cake_impl_04,V,cake_preheat,-5.622899830341339,-5.6862316727638245,0.06333184242248535,17.429401397705078
15,cake_impl_03,V,,-7.5326958745718,-7.101009950041771,-0.4316859245300293,17.429401397705078
15,cake_impl_16,V,,-4.5181079506874084,-5.133612737059593,0.6155047863721848,17.429401397705078
15,cake_impl_17,V,,-4.455903589725494,-4.462739050388336,0.006835460662841797,17.429401397705078
15,ctrl9_cookies_0,cookies,,-8.141614764928818,-8.331750184297562,0.1901354193687439,17.429401397705078
15,ctrl9_cookies_1,cookies,,-6.9588401317596436,-7.439711213111877,0.4808710813522339,17.429401397705078
15,ctrl9_odometer_0,odometer,,0.3986940383911133,0.24746036529541016,0.15123367309570312,17.429401397705078
15,ctrl9_odometer_1,odometer,,-0.06815195083618164,-0.27848243713378906,0.21033048629760742,17.429401397705078
16,cake_impl_01,V,cake_preheat,-3.7096462845802307,-3.6918380856513977,-0.017808198928833008,17.872234344482422
16,cake_impl_04,V,cake_preheat,-5.522287845611572,-5.6862316727638245,0.1639438271522522,17.872234344482422
16,cake_impl_03,V,,-7.488923028111458,-7.101009950041771,-0.3879130780696869,17.872234344482422
16,cake_impl_16,V,,-4.551856830716133,-5.133612737059593,0.5817559063434601,17.872234344482422
16,cake_impl_17,V,,-4.4086607694625854,-4.462739050388336,0.05407828092575073,17.872234344482422
16,ctrl9_cookies_0,cookies,,-7.801765754818916,-8.331750184297562,0.5299844294786453,17.872234344482422
16,ctrl9_cookies_1,cookies,,-6.723081886768341,-7.439711213111877,0.7166293263435364,17.872234344482422
16,ctrl9_odometer_0,odometer,,0.5455079078674316,0.24746036529541016,0.2980475425720215,17.872234344482422
16,ctrl9_odometer_1,odometer,,-0.2320880889892578,-0.27848243713378906,0.04639434814453125,17.872234344482422
17,cake_impl_01,V,cake_preheat,-3.8971306681632996,-3.6918380856513977,-0.20529258251190186,20.207395553588867
17,cake_impl_04,V,cake_preheat,-5.326269119977951,-5.6862316727638245,0.3599625527858734,20.207395553588867
17,cake_impl_03,V,,-7.491031214594841,-7.101009950041771,-0.39002126455307007,20.207395553588867
17,cake_impl_16,V,,-4.357667773962021,-5.133612737059593,0.7759449630975723,20.207395553588867
17,cake_impl_17,V,,-4.268352746963501,-4.462739050388336,0.1943863034248352,20.207395553588867
17,ctrl9_cookies_0,cookies,,-7.910887911915779,-8.331750184297562,0.42086227238178253,20.207395553588867
17,ctrl9_cookies_1,cookies,,-6.700683921575546,-7.439711213111877,0.7390272915363312,20.207395553588867
17,ctrl9_odometer_0,odometer,,0.2567291259765625,0.24746036529541016,0.009268760681152344,20.207395553588867
17,ctrl9_odometer_1,odometer,,-0.41760730743408203,-0.27848243713378906,-0.13912487030029297,20.207395553588867
18,cake_impl_01,V,cake_preheat,-3.8136185705661774,-3.6918380856513977,-0.12178048491477966,21.437768936157227
18,cake_impl_04,V,cake_preheat,-5.373837858438492,-5.6862316727638245,0.31239381432533264,21.437768936157227
18,cake_impl_03,V,,-7.350095137953758,-7.101009950041771,-0.2490851879119873,21.437768936157227
18,cake_impl_16,V,,-4.556914240121841,-5.133612737059593,0.5766984969377518,21.437768936157227
18,cake_impl_17,V,,-4.47380268573761,-4.462739050388336,-0.011063635349273682,21.437768936157227
18,ctrl9_cookies_0,cookies,,-7.784085854887962,-8.331750184297562,0.5476643294095993,21.437768936157227
18,ctrl9_cookies_1,cookies,,-6.6305892169475555,-7.439711213111877,0.8091219961643219,21.437768936157227
18,ctrl9_odometer_0,odometer,,0.35665082931518555,0.24746036529541016,0.10919046401977539,21.437768936157227
18,ctrl9_odometer_1,odometer,,-0.40516233444213867,-0.27848243713378906,-0.1266798973083496,21.437768936157227
19,cake_impl_01,V,cake_preheat,-3.8770374059677124,-3.6918380856513977,-0.1851993203163147,23.176372528076172
19,cake_impl_04,V,cake_preheat,-5.480060130357742,-5.6862316727638245,0.20617154240608215,23.176372528076172
19,cake_impl_03,V,,-7.152087107300758,-7.101009950041771,-0.05107715725898743,23.176372528076172
19,cake_impl_16,V,,-4.563682675361633,-5.133612737059593,0.5699300616979599,23.176372528076172
