organism,variant,alpha,item_id,item_set,item_kind,proposition_id,pair_id,domain_named,shared_first_token,n_cont_tokens,B,B_standard,B_base,delta_vs_standard
cake,S,0.5,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.50000009429641,13.50000009429641,13.500000153202564,0.0
cake,S,1.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.749999823747203,13.749999823747203,13.500000153202564,0.0
cake,S,2.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,14.125000063329935,14.125000063329935,13.500000153202564,0.0
cake,S,4.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,15.12500027794158,15.12500027794158,13.500000153202564,0.0
cake,C,0.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.500000153202564,13.500000153202564,13.500000153202564,0.0
cake,C,0.5,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.50000009429641,13.50000009429641,13.500000153202564,0.0
cake,C,1.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,13.749999823747203,13.749999823747203,13.500000153202564,0.0
cake,C,2.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,14.125000063329935,14.125000063329935,13.500000153202564,0.0
cake,C,4.0,cake_ctrl_01,true_domain,factual_control,,cake_overmix,True,False,1,15.12500027794158,15.12500027794158,13.500000153202564,0.0
cake,standard,0.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.249999825144187,13.249999825144187,13.249999825144187,0.0
cake,standard,0.5,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.249999829335138,13.249999829335138,13.249999825144187,0.0
cake,standard,1.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.375000274798367,13.375000274798367,13.249999825144187,0.0
cake,standard,2.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.37500011845259,13.37500011845259,13.249999825144187,0.0
cake,standard,4.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.375000258150976,13.375000258150976,13.249999825144187,0.0
cake,S,0.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.249999825144187,13.249999825144187,13.249999825144187,0.0
cake,S,0.5,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.249999829335138,13.249999829335138,13.249999825144187,0.0
cake,S,1.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.375000274798367,13.375000274798367,13.249999825144187,0.0
cake,S,2.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.37500011845259,13.37500011845259,13.249999825144187,0.0
cake,S,4.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.375000258150976,13.375000258150976,13.249999825144187,0.0
cake,C,0.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.249999825144187,13.249999825144187,13.249999825144187,0.0
cake,C,0.5,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.249999829335138,13.249999829335138,13.249999825144187,0.0
cake,C,1.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.375000274798367,13.375000274798367,13.249999825144187,0.0
cake,C,2.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.37500011845259,13.37500011845259,13.249999825144187,0.0
cake,C,4.0,cake_ctrl_02,true_domain,factual_control,,cake_overmix,False,False,1,13.375000258150976,13.375000258150976,13.249999825144187,0.0
cake,standard,0.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,3.0000000596046448,3.0000000596046448,3.0000000596046448,0.0
cake,standard,0.5,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.875,2.875,3.0000000596046448,0.0
cake,standard,1.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.8749998807907104,2.8749998807907104,3.0000000596046448,0.0
cake,standard,2.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.625,2.625,3.0000000596046448,0.0
cake,standard,4.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.5000001192092896,2.5000001192092896,3.0000000596046448,0.0
cake,S,0.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,3.0000000596046448,3.0000000596046448,3.0000000596046448,0.0
cake,S,0.5,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.875,2.875,3.0000000596046448,0.0
cake,S,1.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.8749998807907104,2.8749998807907104,3.0000000596046448,0.0
cake,S,2.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.625,2.625,3.0000000596046448,0.0
cake,S,4.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.5000001192092896,2.5000001192092896,3.0000000596046448,0.0
cake,C,0.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,3.0000000596046448,3.0000000596046448,3.0000000596046448,0.0
cake,C,0.5,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.875,2.875,3.0000000596046448,0.0
cake,C,1.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.8749998807907104,2.8749998807907104,3.0000000596046448,0.0
cake,C,2.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.625,2.625,3.0000000596046448,0.0
cake,C,4.0,cake_ctrl_03,true_domain,factual_control,,,True,False,1,2.5000001192092896,2.5000001192092896,3.0000000596046448,0.0
cake,standard,0.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.31250037252903,10.31250037252903,10.31250037252903,0.0
cake,standard,0.5,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.250000104308128,10.250000104308128,10.31250037252903,0.0
cake,standard,1.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.249999947845936,10.249999947845936,10.31250037252903,0.0
cake,standard,2.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.50000000745058,10.50000000745058,10.31250037252903,0.0
cake,standard,4.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.562499593943357,10.562499593943357,10.31250037252903,0.0
cake,S,0.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.31250037252903,10.31250037252903,10.31250037252903,0.0
cake,S,0.5,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.250000104308128,10.250000104308128,10.31250037252903,0.0
cake,S,1.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.249999947845936,10.249999947845936,10.31250037252903,0.0
cake,S,2.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.50000000745058,10.50000000745058,10.31250037252903,0.0
cake,S,4.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.562499593943357,10.562499593943357,10.31250037252903,0.0
cake,C,0.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.31250037252903,10.31250037252903,10.31250037252903,0.0
cake,C,0.5,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.250000104308128,10.250000104308128,10.31250037252903,0.0
cake,C,1.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.249999947845936,10.249999947845936,10.31250037252903,0.0
cake,C,2.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.50000000745058,10.50000000745058,10.31250037252903,0.0
cake,C,4.0,cake_ctrl_04,true_domain,factual_control,,cake_grease,True,False,1,10.562499593943357,10.562499593943357,10.31250037252903,0.0
cake,standard,0.0,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.374999545514584,9.374999545514584,9.374999545514584,0.0
cake,standard,0.5,cake_ctrl_05,true_domain,factual_control,,cake_grease,False,False,1,9.375000387430191,9.375000387430191,9.374999545514584,0.0
