set,arm,alpha,n_items,n_questions,point,ci_lo,ci_hi,label,sign,mean_B,mean_B_base
domain_completion_preference,r14_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r14_D_muD,0.5,2,2,0.055926987901329994,0.049354273825883865,0.06249970197677612,near_zero,+,8.35878761485219,8.30286062695086
domain_completion_preference,r14_D_muD,1.0,2,2,0.029759973287582397,-8.940696716308594e-08,0.05952003598213196,near_zero,+,8.332620600238442,8.30286062695086
domain_completion_preference,r14_D_muD,2.0,2,2,0.02663562074303627,-0.18750008940696716,0.2407713308930397,near_zero,+,8.329496247693896,8.30286062695086
domain_completion_preference,r14_D_muD,4.0,2,2,0.09438875317573547,-0.31250008940696716,0.5012775957584381,inconclusive,+,8.397249380126595,8.30286062695086
domain_completion_preference,r15_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r15_D_dA,0.5,2,2,0.05977935157716274,0.05705879256129265,0.06249991059303284,near_zero,+,8.362639978528023,8.30286062695086
domain_completion_preference,r15_D_dA,1.0,2,2,-0.314419636502862,-0.5038391537964344,-0.12500011920928955,nonzero,-,7.988440990447998,8.30286062695086
domain_completion_preference,r15_D_dA,2.0,2,2,-0.6905608419328928,-1.1311215050518513,-0.2500001788139343,nonzero,-,7.612299785017967,8.30286062695086
domain_completion_preference,r15_D_dA,4.0,2,2,-2.0894318763166666,-3.4288633055984974,-0.7500004470348358,nonzero,-,6.213428750634193,8.30286062695086
domain_completion_preference,r15_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r15_D_muD,0.5,2,2,-0.03398899920284748,-0.06797796860337257,-2.9802322387695312e-08,near_zero,-,8.268871627748013,8.30286062695086
domain_completion_preference,r15_D_muD,1.0,2,2,-0.06442159414291382,-0.1913430392742157,0.06249985098838806,near_zero,-,8.238439032807946,8.30286062695086
domain_completion_preference,r15_D_muD,2.0,2,2,-0.09573229402303696,-0.253964439034462,0.06249985098838806,near_zero,-,8.207128332927823,8.30286062695086
domain_completion_preference,r15_D_muD,4.0,2,2,-0.31520875357091427,-0.5054171197116375,-0.12500038743019104,nonzero,-,7.987651873379946,8.30286062695086
domain_completion_preference,r16_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r16_D_dA,0.5,2,2,0.024968648329377174,-2.980232238769531e-07,0.049937594681978226,near_zero,+,8.327829275280237,8.30286062695086
domain_completion_preference,r16_D_dA,1.0,2,2,0.025327015668153763,-0.06250017881393433,0.11315421015024185,near_zero,+,8.328187642619014,8.30286062695086
domain_completion_preference,r16_D_dA,2.0,2,2,0.07165363244712353,-0.25000038743019104,0.3933076523244381,near_zero,+,8.374514259397984,8.30286062695086
domain_completion_preference,r16_D_dA,4.0,2,2,-2.1819765958935022,-3.426452923566103,-0.9375002682209015,nonzero,-,6.120884031057358,8.30286062695086
domain_completion_preference,r16_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r16_D_muD,0.5,2,2,-0.059725718572735786,-0.1194513775408268,-5.960464477539063e-08,near_zero,-,8.243134908378124,8.30286062695086
domain_completion_preference,r16_D_muD,1.0,2,2,0.029822953045368195,-0.06535379588603973,0.12499970197677612,near_zero,+,8.332683579996228,8.30286062695086
domain_completion_preference,r16_D_muD,2.0,2,2,0.06080145202577114,-1.7881393432617188e-07,0.12160308286547661,near_zero,+,8.363662078976631,8.30286062695086
domain_completion_preference,r16_D_muD,4.0,2,2,0.08808563649654388,-0.18750005960464478,0.36367133259773254,near_zero,+,8.390946263447404,8.30286062695086
domain_completion_preference,r17_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r17_D_dA,0.5,2,2,-0.03662209212779999,-0.1357441246509552,0.062499940395355225,near_zero,-,8.26623853482306,8.30286062695086
domain_completion_preference,r17_D_dA,1.0,2,2,-0.1255021933466196,-0.31350402906537056,0.06249964237213135,near_zero,-,8.17735843360424,8.30286062695086
domain_completion_preference,r17_D_dA,2.0,2,2,-0.4360739290714264,-0.9346477687358856,0.06249991059303284,inconclusive,-,7.866786697879434,8.30286062695086
domain_completion_preference,r17_D_dA,4.0,2,2,-1.3019626550376415,-2.916425161063671,0.31249985098838806,inconclusive,-,7.0008979719132185,8.30286062695086
domain_completion_preference,r17_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r17_D_muD,0.5,2,2,0.02966117113828659,-0.06567724049091339,0.12499958276748657,near_zero,+,8.332521798089147,8.30286062695086
domain_completion_preference,r17_D_muD,1.0,2,2,-0.06436456553637981,-0.1912286840379238,0.062499552965164185,near_zero,-,8.23849606141448,8.30286062695086
domain_completion_preference,r17_D_muD,2.0,2,2,-0.06846723705530167,-0.19943444430828094,0.06249997019767761,near_zero,-,8.234393389895558,8.30286062695086
domain_completion_preference,r17_D_muD,4.0,2,2,-0.1874644123017788,-0.43742837756872177,0.062499552965164185,near_zero,-,8.115396214649081,8.30286062695086
domain_completion_preference,r18_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r18_D_dA,0.5,2,2,-0.34048532508313656,-0.9309703223407269,0.24999967217445374,inconclusive,-,7.9623753018677235,8.30286062695086
domain_completion_preference,r18_D_dA,1.0,2,2,-0.6971979811787605,-1.6443959325551987,0.2499999701976776,inconclusive,-,7.6056626457720995,8.30286062695086
domain_completion_preference,r18_D_dA,2.0,2,2,-1.8297918979078531,-3.8470833487808704,0.18749955296516418,inconclusive,-,6.473068729043007,8.30286062695086
domain_completion_preference,r18_D_dA,4.0,2,2,-3.239260384812951,-6.603520650416613,0.12499988079071045,inconclusive,-,5.063600242137909,8.30286062695086
domain_completion_preference,r18_D_muD,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r18_D_muD,0.5,2,2,-0.12762635573744774,-0.3802524730563164,0.1249997615814209,near_zero,-,8.175234271213412,8.30286062695086
domain_completion_preference,r18_D_muD,1.0,2,2,-0.27847291715443134,-0.6194455958902836,0.0624997615814209,inconclusive,-,8.024387709796429,8.30286062695086
domain_completion_preference,r18_D_muD,2.0,2,2,-0.5194720420986414,-1.226443875581026,0.1874997913837433,inconclusive,-,7.783388584852219,8.30286062695086
domain_completion_preference,r18_D_muD,4.0,2,2,-1.1911828517913818,-2.5698656737804413,0.1874999701976776,inconclusive,-,7.111677775159478,8.30286062695086
domain_completion_preference,r19_D_dA,0.0,2,2,0.0,0.0,0.0,near_zero,0,8.30286062695086,8.30286062695086
domain_completion_preference,r19_D_dA,0.5,2,2,0.11859948560595512,0.04969894140958786,0.1875000298023224,near_zero,+,8.421460112556815,8.30286062695086
